Word           ,Part of Speech ,Notes              ,Related                    ,
black          ,Noun           ,                   ,                           ,
blind          ,Adjective      ,                   ,                           ,
block          ,Noun           ,                   ,                           ,
blood          ,Noun           ,                   ,                           ,
blow           ,Noun           ,                   ,                           ,
blue           ,Adjective      ,                   ,                           ,
boat           ,Noun           ,                   ,                           ,
body           ,Noun           ,                   ,                           ,
bone           ,Noun           ,                   ,                           ,
book           ,Noun           ,                   ,                           ,
border         ,Noun           ,                   ,                           ,
bottle         ,Noun           ,                   ,                           ,
bottom         ,Noun           ,                   ,                           ,
bowl           ,Noun           ,                   ,                           ,
box            ,Noun           ,                   ,                           ,
boy            ,Noun           ,                   ,                           ,
boyfriend      ,Noun           ,                   ,                           ,
brain          ,Noun           ,                   ,                           ,
bread          ,Noun           ,                   ,                           ,
breakfast      ,Noun           ,                   ,                           ,
bridge         ,Noun           ,                   ,                           ,
brother        ,Noun           ,                   ,                           ,
brown          ,Noun           ,                   ,                           ,
building       ,Noun           ,                   ,                           ,
bus            ,Noun           ,                   ,                           ,
but            ,Conjunction    ,                   ,                           ,
cake           ,Noun           ,                   ,                           ,
camera         ,Noun           ,                   ,                           ,
camp           ,Noun           ,                   ,                           ,
can            ,Verb           ,                   ,                           ,
candle         ,Noun           ,                   ,                           ,
cap            ,Noun           ,                   ,                           ,
car            ,Noun           ,                   ,                           ,
card           ,Noun           ,                   ,                           ,
career         ,Noun           ,                   ,                           ,
carrot         ,Noun           ,                   ,                           ,
cat            ,Noun           ,                   ,                           ,
ceiling        ,Noun           ,                   ,                           ,
cell           ,Noun           ,                   ,                           ,
cent           ,Noun           ,                   ,                           ,
center         ,Noun           ,                   ,                           ,
century        ,Noun           ,                   ,                           ,
centimeter     ,Noun           ,                   ,                           ,
certain        ,Adjective      ,                   ,                           ,
chair          ,Noun           ,                   ,                           ,
cheap          ,Noun           ,                   ,                           ,
cheese         ,Noun           ,                   ,                           ,
chicken        ,Noun           ,                   ,                           ,
child          ,Noun           ,                   ,                           ,
chin           ,Noun           ,                   ,                           ,
church         ,Noun           ,                   ,                           ,
circle         ,Noun           ,                   ,                           ,
city           ,Noun           ,                   ,                           ,
clay           ,Noun           ,                   ,                           ,
class          ,Noun           ,                   ,                           ,
clean          ,Adjective      ,                   ,                           ,
clock          ,Noun           ,                   ,                           ,
close          ,Adverb         ,                   ,                           ,
clothing       ,Noun           ,                   ,clothes                    ,
clock          ,Noun           ,                   ,                           ,
cloth          ,Noun           ,                   ,                           ,
cloud          ,Noun           ,                   ,                           ,
club           ,Noun           ,location           ,                           ,
coat           ,Noun           ,                   ,                           ,
coffee         ,Noun           ,                   ,                           ,
cold           ,Noun           ,                   ,                           ,
color          ,Noun           ,                   ,                           ,
committee      ,Noun           ,                   ,                           ,
company        ,Noun           ,                   ,                           ,
computer       ,Noun           ,                   ,                           ,
complex        ,Noun           ,                   ,                           ,
consonant      ,Noun           ,                   ,                           ,
condition      ,Noun           ,                   ,                           ,
contract       ,Noun           ,                   ,                           ,
cool           ,Adjective      ,                   ,                           ,
copper         ,Noun           ,                   ,                           ,
corn           ,Noun           ,                   ,                           ,
corner         ,Noun           ,                   ,                           ,
country        ,Noun           ,(e.g. USA & Spain) ,                           ,
court          ,Noun           ,                   ,                           ,
cover          ,Noun           ,                   ,                           ,
cow            ,Noun           ,                   ,                           ,
crowd          ,Noun           ,                   ,                           ,
cup            ,Noun           ,                   ,                           ,
curved         ,Noun           ,                   ,                           ,
cute           ,Adjective      ,                   ,                           ,
dad            ,Noun           ,                   ,Daddy                      ,
dark           ,Noun           ,                   ,                           ,
date           ,Noun           ,e.g. May 7         ,                           ,
daughter       ,Noun           ,                   ,                           ,
day            ,Noun           ,                   ,                           ,
dead           ,Noun           ,                   ,                           ,
deaf           ,Noun           ,                   ,                           ,
death          ,Noun           ,                   ,                           ,
deep           ,Noun           ,                   ,                           ,
diamond        ,Noun           ,                   ,                           ,
dinner         ,Noun           ,                   ,                           ,
direction      ,Noun           ,                   ,                           ,
dirty          ,Noun           ,                   ,                           ,
disease        ,Noun           ,                   ,                           ,
doctor         ,Noun           ,                   ,                           ,
dog            ,Noun           ,                   ,                           ,
dollar         ,Noun           ,                   ,                           ,
door           ,Noun           ,                   ,                           ,
dot            ,Noun           ,                   ,                           ,
down           ,Preposition    ,                   ,                           ,
dream          ,Noun           ,                   ,                           ,
dress          ,Noun           ,                   ,                           ,
drug           ,Noun           ,                   ,                           ,
dry            ,Noun           ,                   ,                           ,
dust           ,Noun           ,                   ,                           ,
ear            ,Noun           ,                   ,                           ,
east           ,Noun           ,                   ,                           ,
edge           ,Noun           ,                   ,                           ,
egg            ,Noun           ,                   ,                           ,
eight          ,Noun           ,                   ,                           ,
eighteen       ,Noun           ,                   ,                           ,
eighty         ,Noun           ,                   ,                           ,
either         ,Adverb         ,                   ,                           ,
election       ,Noun           ,                   ,                           ,
electronics    ,Noun           ,                   ,                           ,
eleven         ,Noun           ,                   ,                           ,
energy         ,Noun           ,                   ,                           ,
engine         ,Noun           ,                   ,                           ,
evening        ,Noun           ,                   ,                           ,
everything     ,Noun           ,                   ,                           ,
evidence       ,Noun           ,                   ,                           ,
exercise       ,Noun           ,                   ,                           ,
expensive      ,Noun           ,                   ,                           ,
eye            ,Noun           ,                   ,                           ,
face           ,Noun           ,                   ,                           ,
fall           ,Noun           ,season             ,                           ,
family         ,Noun           ,                   ,                           ,
famous         ,Noun           ,                   ,                           ,
fan            ,Noun           ,electric           ,                           ,
fan            ,Noun           ,sport              ,                           ,
far            ,Adverb         ,                   ,                           ,
farm           ,Noun           ,                   ,                           ,
fast           ,Noun           ,                   ,                           ,
father         ,Noun           ,                   ,                           ,
female         ,Noun           ,                   ,                           ,
fifteen        ,Noun           ,                   ,                           ,
fifth          ,Noun           ,5th                ,                           ,
fifty          ,Noun           ,                   ,                           ,
finger         ,Noun           ,                   ,                           ,
fire           ,Noun           ,                   ,                           ,
first          ,Noun           ,1st                ,                           ,
fish           ,Noun           ,                   ,                           ,
five           ,Noun           ,                   ,                           ,
flat           ,Adjective      ,                   ,                           ,
floor          ,Noun           ,                   ,                           ,
flower         ,Noun           ,                   ,                           ,
food           ,Noun           ,                   ,                           ,
foot           ,Noun           ,body part          ,                           ,
foot           ,Noun           ,measurement        ,                           ,
forest         ,Noun           ,                   ,                           ,
fork           ,Noun           ,                   ,                           ,
forty          ,Noun           ,                   ,                           ,
four           ,Noun           ,                   ,                           ,
fourteen       ,Noun           ,                   ,                           ,
fourth         ,Noun           ,4th                ,                           ,
friend         ,Noun           ,                   ,                           ,
front          ,Noun           ,                   ,                           ,
game           ,Noun           ,                   ,                           ,
garden         ,Noun           ,                   ,                           ,
gasoline       ,Noun           ,                   ,                           ,
gift           ,Noun           ,                   ,                           ,
girl           ,Noun           ,                   ,                           ,
girlfriend     ,Noun           ,                   ,                           ,
glass          ,Noun           ,                   ,                           ,
gold           ,Noun           ,                   ,                           ,
good           ,Noun           ,                   ,better/best             ,
grandfather    ,Noun           ,                   ,                           ,
grandmother    ,Noun           ,                   ,                           ,
grass          ,Noun           ,                   ,                           ,
gray           ,Noun           ,                   ,                           ,
green          ,Noun           ,                   ,                           ,
ground         ,Noun           ,                   ,                           ,
gun            ,Noun           ,                   ,                           ,
hair           ,Noun           ,                   ,                           ,
half           ,Noun           ,                   ,                           ,
hand           ,Noun           ,                   ,                           ,
happy          ,Noun           ,                   ,                           ,
hard           ,Noun           ,                   ,                           ,
hat            ,Noun           ,                   ,                           ,
he             ,Pronoun        ,                   ,his/him/himself        ,
head           ,Noun           ,                   ,                           ,
healthy        ,Noun           ,                   ,                           ,
hear           ,Noun           ,a sound            ,                           ,
heart          ,Noun           ,                   ,                           ,
heat           ,Noun           ,                   ,                           ,
heaven         ,Noun           ,                   ,                           ,
heavy          ,Noun           ,                   ,                           ,
hell           ,Noun           ,                   ,                           ,
high           ,Noun           ,                   ,                           ,
hill           ,Noun           ,                   ,                           ,
hole           ,Noun           ,                   ,                           ,
horse          ,Noun           ,                   ,                           ,
hospital       ,Noun           ,                   ,                           ,
hot            ,Noun           ,                   ,                           ,
hotel          ,Noun           ,                   ,                           ,
hour           ,Noun           ,                   ,                           ,
house          ,Noun           ,                   ,                           ,
human          ,Noun           ,                   ,                           ,
hundred        ,Noun           ,                   ,                           ,
husband        ,Noun           ,                   ,                           ,
ice            ,Noun           ,                   ,                           ,
image          ,Noun           ,                   ,                           ,
inch           ,Noun           ,                   ,                           ,
injury         ,Noun           ,                   ,                           ,
inside         ,Noun           ,                   ,                           ,
instrument     ,Noun           ,musical            ,                           ,
interesting    ,Adjective      ,                   ,                           ,
island         ,Noun           ,                   ,                           ,
it             ,Noun           ,                   ,                           ,
job            ,Noun           ,                   ,                           ,
judge          ,Noun           ,Job                ,                           ,
juice          ,Noun           ,                   ,                           ,
key            ,Noun           ,                   ,                           ,
kilogram       ,Noun           ,                   ,                           ,
king           ,Noun           ,                   ,                           ,
kitchen        ,Noun           ,                   ,                           ,
knee           ,Noun           ,                   ,                           ,
knife          ,Noun           ,                   ,                           ,
lake           ,Noun           ,                   ,                           ,
lamp           ,Noun           ,                   ,                           ,
laptop         ,Noun           ,                   ,                           ,
lawyer         ,Noun           ,                   ,                           ,
leaf           ,Noun           ,                   ,                           ,
left           ,Noun           ,direction          ,                           ,
leg            ,Noun           ,                   ,                           ,
lemon          ,Noun           ,                   ,                           ,
letter         ,Noun           ,                   ,                           ,
library        ,Noun           ,                   ,                           ,
lie            ,Noun           ,                   ,                           ,
light          ,Adjective      ,/dark              ,                           ,
light          ,Adjective      ,/heavy             ,                           ,
light          ,Noun           ,                   ,                           ,
lip            ,Noun           ,                   ,                           ,
list           ,Noun           ,                   ,                           ,
location       ,Noun           ,                   ,                           ,
lock           ,Noun           ,                   ,                           ,
long           ,Noun           ,                   ,                           ,
loose          ,Noun           ,                   ,                           ,
loud           ,Noun           ,                   ,                           ,
low            ,Noun           ,                   ,                           ,
lunch          ,Noun           ,                   ,                           ,
magazine       ,Noun           ,                   ,                           ,
male           ,Noun           ,                   ,                           ,
man            ,Noun           ,                   ,                           ,
manager        ,Noun           ,                   ,                           ,
map            ,Noun           ,                   ,                           ,
market         ,Noun           ,                   ,                           ,
marriage       ,Noun           ,                   ,                           ,
material       ,Noun           ,                   ,                           ,
mean           ,Noun           ,/nice              ,                           ,
medicine       ,Noun           ,                   ,                           ,
mess           ,Noun           ,                   ,                           ,
metal          ,Noun           ,                   ,                           ,
meter          ,Noun           ,                   ,                           ,
milk           ,Noun           ,                   ,                           ,
million        ,Noun           ,                   ,                           ,
minute         ,Noun           ,                   ,                           ,
mom            ,Noun           ,                   ,Mommy                      ,
money          ,Noun           ,                   ,                           ,
month          ,Noun           ,                   ,                           ,
moon           ,Noun           ,                   ,                           ,
morning        ,Noun           ,                   ,                           ,
mother         ,Noun           ,                   ,                           ,
mountain       ,Noun           ,                   ,                           ,
mouse          ,Noun           ,                   ,                           ,
mouth          ,Noun           ,                   ,                           ,
movie          ,Noun           ,                   ,                           ,
murder         ,Noun           ,                   ,                           ,
music          ,Noun           ,                   ,                           ,
narrow         ,Noun           ,                   ,                           ,
nature         ,Noun           ,                   ,                           ,
near           ,Adverb         ,                   ,                           ,
neck           ,Noun           ,                   ,                           ,
needle         ,Noun           ,                   ,                           ,
neighbor       ,Noun           ,                   ,                           ,
neither        ,Adverb         ,                   ,                           ,
network        ,Noun           ,                   ,                           ,
new            ,Noun           ,                   ,                           ,
newspaper      ,Noun           ,                   ,                           ,
nice           ,Noun           ,                   ,                           ,
night          ,Noun           ,                   ,                           ,
nine           ,Noun           ,                   ,                           ,
nineteen       ,Noun           ,                   ,                           ,
ninety         ,Noun           ,                   ,                           ,
no             ,Noun           ,                   ,                           ,
nor            ,Conjunction    ,                   ,                           ,
north          ,Noun           ,                   ,                           ,
nose           ,Noun           ,                   ,                           ,
note           ,Noun           ,on paper           ,                           ,
nothing        ,Noun           ,                   ,                           ,
nuclear        ,Noun           ,                   ,                           ,
number         ,Noun           ,                   ,                           ,
ocean          ,Noun           ,                   ,                           ,
office         ,Noun           ,                   ,                           ,
oil            ,Noun           ,                   ,                           ,
old            ,Noun           ,/new               ,                           ,
old            ,Noun           ,/young             ,                           ,
one            ,Noun           ,                   ,                           ,
one hundred    ,Noun           ,                   ,                           ,
one million    ,Noun           ,                   ,                           ,
one thousand   ,Noun           ,                   ,                           ,
or             ,Conjunction    ,                   ,                           ,
orange         ,Noun           ,color              ,                           ,
orange         ,Noun           ,food               ,                           ,
outside        ,Noun           ,                   ,                           ,
page           ,Noun           ,                   ,                           ,
pain           ,Noun           ,                   ,                           ,
paint          ,Noun           ,                   ,                           ,
pants          ,Noun           ,                   ,                           ,
paper          ,Noun           ,                   ,                           ,
parent         ,Noun           ,                   ,                           ,
park           ,Noun           ,location           ,                           ,
patient        ,Noun           ,                   ,                           ,
pattern        ,Noun           ,                   ,                           ,
peace          ,Noun           ,                   ,                           ,
pen            ,Noun           ,                   ,                           ,
pencil         ,Noun           ,                   ,                           ,
person         ,Noun           ,                   ,                           ,
phone          ,Noun           ,                   ,                           ,
photograph     ,Noun           ,                   ,                           ,
piece          ,Noun           ,                   ,                           ,
pig            ,Noun           ,                   ,                           ,
pink           ,Noun           ,                   ,                           ,
plan           ,Noun           ,                   ,                           ,
plane          ,Noun           ,                   ,                           ,
plant          ,Noun           ,                   ,                           ,
plastic        ,Noun           ,                   ,                           ,
plate          ,Noun           ,                   ,                           ,
player         ,Noun           ,                   ,                           ,
pocket         ,Noun           ,                   ,                           ,
poison         ,Noun           ,                   ,                           ,
police         ,Noun           ,                   ,                           ,
pool           ,Noun           ,                   ,                           ,
poor           ,Noun           ,                   ,                           ,
pork           ,Noun           ,                   ,                           ,
possibly       ,Adverb         ,                   ,                           ,
pound          ,Noun           ,weight             ,                           ,
president      ,Noun           ,                   ,                           ,
price          ,Noun           ,                   ,                           ,
priest         ,Noun           ,                   ,                           ,
prison         ,Noun           ,                   ,                           ,
private        ,Adjective      ,                   ,                           ,
program        ,Noun           ,computer           ,                           ,
public         ,Adjective      ,                   ,                           ,
queen          ,Noun           ,                   ,                           ,
quiet          ,Noun           ,                   ,                           ,
race           ,Noun           ,ethnicity          ,                           ,
race           ,Noun           ,sport              ,                           ,
radio          ,Noun           ,                   ,                           ,
rain           ,Noun           ,                   ,                           ,
red            ,Noun           ,                   ,                           ,
religion       ,Noun           ,                   ,                           ,
reporter       ,Noun           ,                   ,                           ,
restaurant     ,Noun           ,                   ,                           ,
rice           ,Noun           ,                   ,                           ,
rich           ,Noun           ,                   ,                           ,
right          ,Noun           ,direction          ,                           ,
ring           ,Noun           ,                   ,                           ,
river          ,Noun           ,                   ,                           ,
roof           ,Noun           ,                   ,                           ,
room           ,Noun           ,in a house         ,                           ,
root           ,Noun           ,                   ,                           ,
sad            ,Noun           ,                   ,                           ,
salt           ,Noun           ,                   ,                           ,
sand           ,Noun           ,                   ,                           ,
school         ,Noun           ,                   ,                           ,
science        ,Noun           ,                   ,                           ,
screen         ,Noun           ,                   ,                           ,
sea            ,Noun           ,                   ,                           ,
season         ,Noun           ,                   ,                           ,
second         ,Noun           ,2nd                ,                           ,
second         ,Noun           ,time               ,                           ,
secretary      ,Noun           ,                   ,                           ,
seed           ,Noun           ,                   ,                           ,
seven          ,Noun           ,                   ,                           ,
seventeen      ,Noun           ,                   ,                           ,
seventy        ,Noun           ,                   ,                           ,
sex            ,Noun           ,act                ,                           ,
sex            ,Noun           ,gender             ,                           ,
shallow        ,Noun           ,                   ,                           ,
she            ,Noun           ,                   ,her/hers/herself       ,
ship           ,Noun           ,                   ,                           ,
shirt          ,Noun           ,                   ,                           ,
shoes          ,Noun           ,                   ,                           ,
short          ,Adjective      ,long               ,                           ,
short          ,Adjective      ,vs. tall           ,                           ,
shoulder       ,Noun           ,                   ,                           ,
sick           ,Noun           ,                   ,                           ,
side           ,Noun           ,                   ,                           ,
sign           ,Noun           ,                   ,                           ,
silver         ,Noun           ,                   ,                           ,
sister         ,Noun           ,                   ,                           ,
six            ,Noun           ,                   ,                           ,
sixteen        ,Noun           ,                   ,                           ,
sixty          ,Noun           ,                   ,                           ,
skin           ,Noun           ,                   ,                           ,
skirt          ,Noun           ,                   ,                           ,
sky            ,Noun           ,                   ,                           ,
slow           ,Noun           ,                   ,                           ,
small/little   ,Noun           ,                   ,                           ,
snow           ,Noun           ,                   ,                           ,
soap           ,Noun           ,                   ,                           ,
soft           ,Noun           ,                   ,                           ,
soil/earth     ,Noun           ,                   ,                           ,
soldier        ,Noun           ,                   ,                           ,
son            ,Noun           ,                   ,                           ,
song           ,Noun           ,                   ,                           ,
sound          ,Noun           ,                   ,                           ,
soup           ,Noun           ,                   ,                           ,
south          ,Noun           ,                   ,                           ,
space          ,Noun           ,outer space        ,                           ,
spoon          ,Noun           ,                   ,                           ,
sport          ,Noun           ,                   ,                           ,
spring         ,Noun           ,season             ,                           ,
square         ,Noun           ,                   ,                           ,
stain          ,Noun           ,                   ,                           ,
star           ,Noun           ,                   ,                           ,
station        ,Noun           ,                   ,                           ,
stone          ,Noun           ,                   ,                           ,
store/shop     ,Noun           ,                   ,                           ,
straight       ,Noun           ,                   ,                           ,
street/road    ,Noun           ,                   ,                           ,
strong         ,Noun           ,                   ,                           ,
student        ,Noun           ,                   ,                           ,
sugar          ,Noun           ,                   ,                           ,
suit           ,Noun           ,                   ,                           ,
summer         ,Noun           ,                   ,                           ,
sun            ,Noun           ,                   ,                           ,
sweat          ,Noun           ,                   ,                           ,
table          ,Noun           ,                   ,                           ,
tall           ,Noun           ,                   ,                           ,
tea            ,Noun           ,                   ,                           ,
teacher        ,Noun           ,                   ,                           ,
team           ,Noun           ,                   ,                           ,
tear           ,Noun           ,drop               ,                           ,
technology     ,Noun           ,                   ,                           ,
telephone_     ,Noun           ,                   ,                           ,
television     ,Noun           ,                   ,                           ,
temperature    ,Noun           ,                   ,                           ,
ten            ,Noun           ,                   ,                           ,
ten thousand   ,Noun           ,                   ,                           ,
theater        ,Noun           ,                   ,                           ,
they           ,Pronoun        ,                   ,them/their/theirs      ,
thick          ,Noun           ,                   ,                           ,
thin           ,Noun           ,                   ,                           ,
third          ,Noun           ,3rd                ,                           ,
thirteen       ,Noun           ,                   ,                           ,
thirty         ,Noun           ,                   ,                           ,
thousand       ,Noun           ,                   ,                           ,
three          ,Noun           ,                   ,                           ,
ticket         ,Noun           ,train              ,                           ,
tight          ,Noun           ,                   ,                           ,
time           ,Noun           ,                   ,                           ,
tire           ,Noun           ,of a car           ,                           ,
to be          ,Verb           ,                   ,                           ,
to beat        ,Verb           ,                   ,                           ,
to begin       ,Verb           ,                   ,                           ,
to bend        ,Verb           ,                   ,                           ,
to break       ,Verb           ,                   ,                           ,
to boil        ,Verb           ,                   ,                           ,
to build       ,Verb           ,                   ,                           ,
to burn        ,Verb           ,                   ,                           ,
to buy         ,Verb           ,                   ,                           ,
to call        ,Verb           ,                   ,                           ,
to carry       ,Verb           ,                   ,                           ,
to cancel      ,Verb           ,                   ,                           ,
to care        ,Verb           ,                   ,                           ,
to catch       ,Verb           ,                   ,                           ,
to cause       ,Verb           ,                   ,                           ,
to clean       ,Verb           ,                   ,                           ,
to close       ,Verb           ,                   ,                           ,
to come        ,Verb           ,                   ,                           ,
to compare     ,Verb           ,                   ,                           ,
to compete     ,Verb           ,                   ,                           ,
to connect     ,Verb           ,                   ,                           ,
to cook        ,Verb           ,                   ,                           ,
to count       ,Verb           ,                   ,                           ,
to cry         ,Verb           ,                   ,                           ,
to cut         ,Verb           ,                   ,                           ,
to dance       ,Verb           ,                   ,                           ,
to deserve     ,Verb           ,                   ,                           ,
to die         ,Verb           ,                   ,                           ,
to dig         ,Verb           ,                   ,                           ,
to do          ,Verb           ,                   ,                           ,
to down        ,Verb           ,                   ,                           ,
to draw        ,Verb           ,                   ,                           ,
to dress       ,Verb           ,                   ,                           ,
to drink       ,Verb           ,                   ,                           ,
to drive       ,Verb           ,                   ,                           ,
to eat         ,Verb           ,                   ,                           ,
to enjoy       ,Verb           ,                   ,                           ,
to explode     ,Verb           ,                   ,                           ,
to fall        ,Verb           ,                   ,                           ,
to feed        ,Verb           ,                   ,                           ,
to fight       ,Verb           ,                   ,                           ,
to find        ,Verb           ,                   ,                           ,
to finish      ,Verb           ,                   ,                           ,
to fix         ,Verb           ,                   ,                           ,
to fly         ,Verb           ,                   ,                           ,
to follow      ,Verb           ,                   ,                           ,
to give        ,Verb           ,                   ,                           ,
to go          ,Verb           ,                   ,                           ,
to grow        ,Verb           ,                   ,                           ,
to hang        ,Verb           ,                   ,                           ,
to have        ,Verb           ,                   ,                           ,
to help        ,Verb           ,                   ,                           ,
to hold        ,Verb           ,                   ,                           ,
to jump        ,Verb           ,                   ,                           ,
to keep        ,Verb           ,                   ,                           ,
to kill        ,Verb           ,                   ,                           ,
to kiss        ,Verb           ,                   ,                           ,
to laugh       ,Verb           ,                   ,                           ,
to learn       ,Verb           ,                   ,                           ,
to lift        ,Verb           ,                   ,                           ,
to listen      ,Verb           ,to music           ,                           ,
to lose        ,Verb           ,                   ,                           ,
to love        ,Verb           ,                   ,                           ,
to marry       ,Verb           ,                   ,                           ,
to meet        ,Verb           ,                   ,                           ,
to melt        ,Verb           ,                   ,                           ,
to mention     ,Verb           ,                   ,                           ,
to mix/stir    ,Verb           ,                   ,                           ,
to open        ,Verb           ,                   ,                           ,
to pass        ,Verb           ,                   ,                           ,
to pay         ,Verb           ,                   ,                           ,
to play        ,Verb           ,                   ,                           ,
to pray        ,Verb           ,                   ,                           ,
to pull        ,Verb           ,                   ,                           ,
to push        ,Verb           ,                   ,                           ,
to put         ,Verb           ,                   ,                           ,
to respect     ,Verb           ,                   ,                           ,
to run         ,Verb           ,                   ,                           ,
to see         ,Verb           ,a bird             ,                           ,
to sell        ,Verb           ,                   ,                           ,
to shake       ,Verb           ,                   ,                           ,
to shoot       ,Noun           ,a gun              ,                           ,
to sign        ,Verb           ,                   ,                           ,
to sing        ,Verb           ,                   ,                           ,
to sit         ,Verb           ,                   ,                           ,
to sleep       ,Verb           ,                   ,                           ,
to smell       ,Verb           ,                   ,                           ,
to smile       ,Verb           ,                   ,                           ,
to speak/say   ,Verb           ,                   ,                           ,
to spend       ,Verb           ,                   ,                           ,
to stand       ,Verb           ,                   ,                           ,
to stay        ,Verb           ,                   ,                           ,
to stop        ,Verb           ,                   ,                           ,
to surprise    ,Verb           ,                   ,                           ,
to swim        ,Verb           ,                   ,                           ,
to take        ,Verb           ,                   ,                           ,
to taste       ,Verb           ,                   ,                           ,
to teach       ,Verb           ,                   ,                           ,
to think       ,Verb           ,                   ,                           ,
to throw       ,Verb           ,                   ,                           ,
to touch       ,Verb           ,                   ,                           ,
to turn        ,Verb           ,                   ,                           ,
to up          ,Verb           ,                   ,                           ,
to walk        ,Verb           ,                   ,                           ,
to wash        ,Verb           ,                   ,                           ,
to watch       ,Verb           ,(TV)               ,                           ,
to wear        ,Verb           ,                   ,                           ,
to wear        ,Verb           ,                   ,                           ,
to win         ,Verb           ,                   ,                           ,
to work        ,Verb           ,                   ,                           ,
to write       ,Verb           ,                   ,                           ,
toe            ,Noun           ,                   ,                           ,
tongue         ,Noun           ,                   ,                           ,
tool           ,Noun           ,                   ,                           ,
tooth          ,Noun           ,                   ,                           ,
top            ,Noun           ,                   ,                           ,
town           ,Noun           ,                   ,                           ,
train          ,Noun           ,                   ,                           ,
transportation ,Noun           ,                   ,                           ,
tree           ,Noun           ,                   ,                           ,
truck          ,Noun           ,                   ,                           ,
twelve         ,Noun           ,                   ,                           ,
twenty         ,Noun           ,                   ,                           ,
twenty one     ,Noun           ,                   ,                           ,
two            ,Noun           ,                   ,                           ,
two hundred    ,Noun           ,                   ,                           ,
ugly           ,Noun           ,                   ,                           ,
uncle          ,Noun           ,                   ,                           ,
university     ,Noun           ,                   ,                           ,
up             ,Noun           ,                   ,                           ,
valley         ,Noun           ,                   ,                           ,
verb           ,Noun           ,                   ,                           ,
victim         ,Noun           ,                   ,                           ,
voice          ,Noun           ,                   ,                           ,
vowel          ,Noun           ,                   ,                           ,
waiter         ,Noun           ,                   ,                           ,
wake           ,Noun           ,                   ,                           ,
wall           ,Noun           ,                   ,                           ,
war            ,Noun           ,                   ,                           ,
warm           ,Adjective      ,                   ,                           ,
water          ,Noun           ,                   ,                           ,
