es                 ,en             ,Part of Speech ,Notes              ,Related                    ,
el techo           ,ceiling        ,Noun           ,                   ,                           ,
la célula          ,cell           ,Noun           ,                   ,                           ,
el centavo         ,cent           ,Noun           ,                   ,                           ,
el centro          ,center         ,Noun           ,                   ,                           ,
el siglo           ,century        ,Noun           ,                   ,                           ,
el centimetro      ,centimeter     ,Noun           ,                   ,                           ,
cierto             ,certain        ,Adjective      ,                   ,                           ,
la silla           ,chair          ,Noun           ,                   ,                           ,
el barato          ,cheap          ,Noun           ,                   ,                           ,
el queso           ,cheese         ,Noun           ,                   ,                           ,
el pollo           ,chicken        ,Noun           ,                   ,                           ,
el niño            ,child          ,Noun           ,                   ,                           ,
la barbilla        ,chin           ,Noun           ,                   ,                           ,
la Iglesia         ,church         ,Noun           ,                   ,                           ,
el círculo         ,circle         ,Noun           ,                   ,                           ,
la ciudad          ,city           ,Noun           ,                   ,                           ,
la arcilla         ,clay           ,Noun           ,                   ,                           ,
la clase           ,class          ,Noun           ,                   ,                           ,
limpio             ,clean          ,Adjective      ,                   ,                           ,
el reloj           ,clock          ,Noun           ,                   ,                           ,
cerca              ,close          ,Adverb         ,                   ,                           ,
el atuendo         ,clothing       ,Noun           ,                   ,clothes                    ,
el reloj           ,clock          ,Noun           ,                   ,                           ,
la ropa            ,cloth          ,Noun           ,                   ,                           ,
la nube            ,cloud          ,Noun           ,                   ,                           ,
el club            ,club           ,Noun           ,location           ,                           ,
el abrigo          ,coat           ,Noun           ,                   ,                           ,
el café            ,coffee         ,Noun           ,                   ,                           ,
el frío            ,cold           ,Noun           ,                   ,                           ,
el color           ,color          ,Noun           ,                   ,                           ,
el Comité          ,committee      ,Noun           ,                   ,                           ,
la empresa         ,company        ,Noun           ,                   ,                           ,
el ordenador       ,computer       ,Noun           ,                   ,                           ,
el complejo        ,complex        ,Noun           ,                   ,                           ,
la consonante      ,consonant      ,Noun           ,                   ,                           ,
la condición       ,condition      ,Noun           ,                   ,                           ,
el contrato        ,contract       ,Noun           ,                   ,                           ,
Frío               ,cool           ,Adjective      ,                   ,                           ,
el cobre           ,copper         ,Noun           ,                   ,                           ,
el maiz            ,corn           ,Noun           ,                   ,                           ,
la esquina         ,corner         ,Noun           ,                   ,                           ,
el país            ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
la cancha          ,court          ,Noun           ,                   ,                           ,
la cubierta        ,cover          ,Noun           ,                   ,                           ,
la vaca            ,cow            ,Noun           ,                   ,                           ,
la multitud        ,crowd          ,Noun           ,                   ,                           ,
la Copa            ,cup            ,Noun           ,                   ,                           ,
el curvo           ,curved         ,Noun           ,                   ,                           ,
lindo              ,cute           ,Adjective      ,                   ,                           ,
el padre           ,dad            ,Noun           ,                   ,Daddy                      ,
la oscuridad       ,dark           ,Noun           ,                   ,                           ,
la fecha           ,date           ,Noun           ,e.g. May 7         ,                           ,
la hija            ,daughter       ,Noun           ,                   ,                           ,
El dia             ,day            ,Noun           ,                   ,                           ,
los muertos        ,dead           ,Noun           ,                   ,                           ,
el sordo           ,deaf           ,Noun           ,                   ,                           ,
la muerte          ,death          ,Noun           ,                   ,                           ,
la profundidad     ,deep           ,Noun           ,                   ,                           ,
el diamante        ,diamond        ,Noun           ,                   ,                           ,
la cena            ,dinner         ,Noun           ,                   ,                           ,
la dirección       ,direction      ,Noun           ,                   ,                           ,
el sucio           ,dirty          ,Noun           ,                   ,                           ,
la enfermedad      ,disease        ,Noun           ,                   ,                           ,
el medico          ,doctor         ,Noun           ,                   ,                           ,
el perro           ,dog            ,Noun           ,                   ,                           ,
el dólar           ,dollar         ,Noun           ,                   ,                           ,
la puerta          ,door           ,Noun           ,                   ,                           ,
el punto           ,dot            ,Noun           ,                   ,                           ,
abajo              ,down           ,Preposition    ,                   ,                           ,
el sueño           ,dream          ,Noun           ,                   ,                           ,
el vestido         ,dress          ,Noun           ,                   ,                           ,
la droga           ,drug           ,Noun           ,                   ,                           ,
lo seco            ,dry            ,Noun           ,                   ,                           ,
el polvo           ,dust           ,Noun           ,                   ,                           ,
la oreja           ,ear            ,Noun           ,                   ,                           ,
el este            ,east           ,Noun           ,                   ,                           ,
el borde           ,edge           ,Noun           ,                   ,                           ,
el huevo           ,egg            ,Noun           ,                   ,                           ,
el ocho            ,eight          ,Noun           ,                   ,                           ,
los dieciocho      ,eighteen       ,Noun           ,                   ,                           ,
los ochenta        ,eighty         ,Noun           ,                   ,                           ,
o                  ,either         ,Adverb         ,                   ,                           ,
la elección        ,election       ,Noun           ,                   ,                           ,
la electronica     ,electronics    ,Noun           ,                   ,                           ,
los once           ,eleven         ,Noun           ,                   ,                           ,
la energía         ,energy         ,Noun           ,                   ,                           ,
el motor           ,engine         ,Noun           ,                   ,                           ,
la noche           ,evening        ,Noun           ,                   ,                           ,
el todo            ,everything     ,Noun           ,                   ,                           ,
la evidencia       ,evidence       ,Noun           ,                   ,                           ,
el ejercicio       ,exercise       ,Noun           ,                   ,                           ,
la cara            ,expensive      ,Noun           ,                   ,                           ,
el ojo             ,eye            ,Noun           ,                   ,                           ,
la cara            ,face           ,Noun           ,                   ,                           ,
la caída           ,fall           ,Noun           ,season             ,                           ,
la familia         ,family         ,Noun           ,                   ,                           ,
el famoso          ,famous         ,Noun           ,                   ,                           ,
el admirador       ,fan            ,Noun           ,electric           ,                           ,
el admirador       ,fan            ,Noun           ,sport              ,                           ,
lejos              ,far            ,Adverb         ,                   ,                           ,
la granja          ,farm           ,Noun           ,                   ,                           ,
el rápido          ,fast           ,Noun           ,                   ,                           ,
el padre           ,father         ,Noun           ,                   ,                           ,
la hembra          ,female         ,Noun           ,                   ,                           ,
los quince         ,fifteen        ,Noun           ,                   ,                           ,
el quinto          ,fifth          ,Noun           ,5th                ,                           ,
los cincuenta      ,fifty          ,Noun           ,                   ,                           ,
el dedo            ,finger         ,Noun           ,                   ,                           ,
el fuego           ,fire           ,Noun           ,                   ,                           ,
el primero         ,first          ,Noun           ,1st                ,                           ,
el pescado         ,fish           ,Noun           ,                   ,                           ,
el cinco           ,five           ,Noun           ,                   ,                           ,
plano              ,flat           ,Adjective      ,                   ,                           ,
el piso            ,floor          ,Noun           ,                   ,                           ,
la flor            ,flower         ,Noun           ,                   ,                           ,
la comida          ,food           ,Noun           ,                   ,                           ,
el pie             ,foot           ,Noun           ,body part          ,                           ,
el pie             ,foot           ,Noun           ,measurement        ,                           ,
el bosque          ,forest         ,Noun           ,                   ,                           ,
El tenedor         ,fork           ,Noun           ,                   ,                           ,
los cuarenta       ,forty          ,Noun           ,                   ,                           ,
El cuatro          ,four           ,Noun           ,                   ,                           ,
los catorce        ,fourteen       ,Noun           ,                   ,                           ,
el cuarto          ,fourth         ,Noun           ,4th                ,                           ,
el amigo           ,friend         ,Noun           ,                   ,                           ,
El frente          ,front          ,Noun           ,                   ,                           ,
el juego           ,game           ,Noun           ,                   ,                           ,
el jardín          ,garden         ,Noun           ,                   ,                           ,
la gasolina        ,gasoline       ,Noun           ,                   ,                           ,
el don             ,gift           ,Noun           ,                   ,                           ,
la mujer           ,girl           ,Noun           ,                   ,                           ,
la novia           ,girlfriend     ,Noun           ,                   ,                           ,
el cristal         ,glass          ,Noun           ,                   ,                           ,
el oro             ,gold           ,Noun           ,                   ,                           ,
el bueno           ,good           ,Noun           ,                   ,"better, best"             ,
el abuelo          ,grandfather    ,Noun           ,                   ,                           ,
la abuela          ,grandmother    ,Noun           ,                   ,                           ,
el césped          ,grass          ,Noun           ,                   ,                           ,
el gris            ,gray           ,Noun           ,                   ,                           ,
el verde           ,green          ,Noun           ,                   ,                           ,
el terreno         ,ground         ,Noun           ,                   ,                           ,
el arma            ,gun            ,Noun           ,                   ,                           ,
el pelo            ,hair           ,Noun           ,                   ,                           ,
la mitad           ,half           ,Noun           ,                   ,                           ,
la mano            ,hand           ,Noun           ,                   ,                           ,
el feliz           ,happy          ,Noun           ,                   ,                           ,
lo difícil         ,hard           ,Noun           ,                   ,                           ,
el sombrero        ,hat            ,Noun           ,                   ,                           ,
él                 ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
la cabeza          ,head           ,Noun           ,                   ,                           ,
el saludable       ,healthy        ,Noun           ,                   ,                           ,
el oír             ,hear           ,Noun           ,a sound            ,                           ,
el corazón         ,heart          ,Noun           ,                   ,                           ,
el calor           ,heat           ,Noun           ,                   ,                           ,
el cielo           ,heaven         ,Noun           ,                   ,                           ,
la pesada          ,heavy          ,Noun           ,                   ,                           ,
el infierno        ,hell           ,Noun           ,                   ,                           ,
La altura          ,high           ,Noun           ,                   ,                           ,
la colina          ,hill           ,Noun           ,                   ,                           ,
el agujero         ,hole           ,Noun           ,                   ,                           ,
el caballo         ,horse          ,Noun           ,                   ,                           ,
el hospital        ,hospital       ,Noun           ,                   ,                           ,
el caliente        ,hot            ,Noun           ,                   ,                           ,
el hotel           ,hotel          ,Noun           ,                   ,                           ,
la hora            ,hour           ,Noun           ,                   ,                           ,
la casa            ,house          ,Noun           ,                   ,                           ,
el humano          ,human          ,Noun           ,                   ,                           ,
el cien            ,hundred        ,Noun           ,                   ,                           ,
el esposo          ,husband        ,Noun           ,                   ,                           ,
el hielo           ,ice            ,Noun           ,                   ,                           ,
la imagen          ,image          ,Noun           ,                   ,                           ,
la pulgada         ,inch           ,Noun           ,                   ,                           ,
la lesión          ,injury         ,Noun           ,                   ,                           ,
el interior        ,inside         ,Noun           ,                   ,                           ,
el instrumento     ,instrument     ,Noun           ,musical            ,                           ,
interesante        ,interesting    ,Adjective      ,                   ,                           ,
la isla            ,island         ,Noun           ,                   ,                           ,
la cosa            ,it             ,Noun           ,                   ,                           ,
el trabajo         ,job            ,Noun           ,                   ,                           ,
el juez            ,judge          ,Noun           ,Job                ,                           ,
el jugo            ,juice          ,Noun           ,                   ,                           ,
la clave           ,key            ,Noun           ,                   ,                           ,
el kilogramo       ,kilogram       ,Noun           ,                   ,                           ,
el rey             ,king           ,Noun           ,                   ,                           ,
La cocina          ,kitchen        ,Noun           ,                   ,                           ,
la rodilla         ,knee           ,Noun           ,                   ,                           ,
el cuchillo        ,knife          ,Noun           ,                   ,                           ,
El lago            ,lake           ,Noun           ,                   ,                           ,
la lámpara         ,lamp           ,Noun           ,                   ,                           ,
el portatil        ,laptop         ,Noun           ,                   ,                           ,
El abogado         ,lawyer         ,Noun           ,                   ,                           ,
la hoja            ,leaf           ,Noun           ,                   ,                           ,
la izquierda       ,left           ,Noun           ,direction          ,                           ,
la pierna          ,leg            ,Noun           ,                   ,                           ,
el limón           ,lemon          ,Noun           ,                   ,                           ,
la carta           ,letter         ,Noun           ,                   ,                           ,
la biblioteca      ,library        ,Noun           ,                   ,                           ,
la mentira         ,lie            ,Noun           ,                   ,                           ,
luz                ,light          ,Adjective      ,/dark              ,                           ,
luz                ,light          ,Adjective      ,/heavy             ,                           ,
la luz             ,light          ,Noun           ,                   ,                           ,
el labio           ,lip            ,Noun           ,                   ,                           ,
la lista           ,list           ,Noun           ,                   ,                           ,
La locación        ,location       ,Noun           ,                   ,                           ,
La cerradura       ,lock           ,Noun           ,                   ,                           ,
el largo           ,long           ,Noun           ,                   ,                           ,
el suelto          ,loose          ,Noun           ,                   ,                           ,
el ruidoso         ,loud           ,Noun           ,                   ,                           ,
lo bajo            ,low            ,Noun           ,                   ,                           ,
el almuerzo        ,lunch          ,Noun           ,                   ,                           ,
la revista         ,magazine       ,Noun           ,                   ,                           ,
El hombre          ,male           ,Noun           ,                   ,                           ,
el hombre          ,man            ,Noun           ,                   ,                           ,
el gerente         ,manager        ,Noun           ,                   ,                           ,
el mapa            ,map            ,Noun           ,                   ,                           ,
El mercado         ,market         ,Noun           ,                   ,                           ,
el matrimonio      ,marriage       ,Noun           ,                   ,                           ,
el material        ,material       ,Noun           ,                   ,                           ,
el significado     ,mean           ,Noun           ,/nice              ,                           ,
la medicina        ,medicine       ,Noun           ,                   ,                           ,
el desorden        ,mess           ,Noun           ,                   ,                           ,
el metal           ,metal          ,Noun           ,                   ,                           ,
el metro           ,meter          ,Noun           ,                   ,                           ,
La leche           ,milk           ,Noun           ,                   ,                           ,
el millón          ,million        ,Noun           ,                   ,                           ,
el minuto          ,minute         ,Noun           ,                   ,                           ,
la madre           ,mom            ,Noun           ,                   ,Mommy                      ,
el dinero          ,money          ,Noun           ,                   ,                           ,
el mes             ,month          ,Noun           ,                   ,                           ,
la luna            ,moon           ,Noun           ,                   ,                           ,
la mañana          ,morning        ,Noun           ,                   ,                           ,
La madre           ,mother         ,Noun           ,                   ,                           ,
la montaña         ,mountain       ,Noun           ,                   ,                           ,
el ratón           ,mouse          ,Noun           ,                   ,                           ,
la boca            ,mouth          ,Noun           ,                   ,                           ,
la película        ,movie          ,Noun           ,                   ,                           ,
el asesino         ,murder         ,Noun           ,                   ,                           ,
la música          ,music          ,Noun           ,                   ,                           ,
el estrecho        ,narrow         ,Noun           ,                   ,                           ,
la naturaleza      ,nature         ,Noun           ,                   ,                           ,
cerca              ,near           ,Adverb         ,                   ,                           ,
el cuello          ,neck           ,Noun           ,                   ,                           ,
la aguja           ,needle         ,Noun           ,                   ,                           ,
El vecino          ,neighbor       ,Noun           ,                   ,                           ,
ninguno de los dos ,neither        ,Adverb         ,                   ,                           ,
la red             ,network        ,Noun           ,                   ,                           ,
el nuevo           ,new            ,Noun           ,                   ,                           ,
el periódico       ,newspaper      ,Noun           ,                   ,                           ,
el bueno           ,nice           ,Noun           ,                   ,                           ,
la noche           ,night          ,Noun           ,                   ,                           ,
el nueve           ,nine           ,Noun           ,                   ,                           ,
los diecinueve     ,nineteen       ,Noun           ,                   ,                           ,
los noventa        ,ninety         ,Noun           ,                   ,                           ,
el no              ,no             ,Noun           ,                   ,                           ,
ni                 ,nor            ,Conjunction    ,                   ,                           ,
el norte           ,north          ,Noun           ,                   ,                           ,
la nariz           ,nose           ,Noun           ,                   ,                           ,
la nota            ,note           ,Noun           ,on paper           ,                           ,
La nada            ,nothing        ,Noun           ,                   ,                           ,
el nuclear         ,nuclear        ,Noun           ,                   ,                           ,
el número          ,number         ,Noun           ,                   ,                           ,
el océano          ,ocean          ,Noun           ,                   ,                           ,
la oficina         ,office         ,Noun           ,                   ,                           ,
el aceite          ,oil            ,Noun           ,                   ,                           ,
el viejo           ,old            ,Noun           ,/new               ,                           ,
el viejo           ,old            ,Noun           ,/young             ,                           ,
el único           ,one            ,Noun           ,                   ,                           ,
los cien           ,one hundred    ,Noun           ,                   ,                           ,
el millón          ,one million    ,Noun           ,                   ,                           ,
los mil            ,one thousand   ,Noun           ,                   ,                           ,
o                  ,or             ,Conjunction    ,                   ,                           ,
la naranja         ,orange         ,Noun           ,color              ,                           ,
la naranja         ,orange         ,Noun           ,food               ,                           ,
el exterior        ,outside        ,Noun           ,                   ,                           ,
la página          ,page           ,Noun           ,                   ,                           ,
el dolor           ,pain           ,Noun           ,                   ,                           ,
la pintura         ,paint          ,Noun           ,                   ,                           ,
los pantalones     ,pants          ,Noun           ,                   ,                           ,
el papel           ,paper          ,Noun           ,                   ,                           ,
el padre           ,parent         ,Noun           ,                   ,                           ,
el parque          ,park           ,Noun           ,location           ,                           ,
el paciente        ,patient        ,Noun           ,                   ,                           ,
el patrón          ,pattern        ,Noun           ,                   ,                           ,
la paz             ,peace          ,Noun           ,                   ,                           ,
el bolígrafo       ,pen            ,Noun           ,                   ,                           ,
el lápiz           ,pencil         ,Noun           ,                   ,                           ,
la persona         ,person         ,Noun           ,                   ,                           ,
el teléfono        ,phone          ,Noun           ,                   ,                           ,
la fotografía      ,photograph     ,Noun           ,                   ,                           ,
la pieza           ,piece          ,Noun           ,                   ,                           ,
el cerdo           ,pig            ,Noun           ,                   ,                           ,
el rosado          ,pink           ,Noun           ,                   ,                           ,
El plan            ,plan           ,Noun           ,                   ,                           ,
el avión           ,plane          ,Noun           ,                   ,                           ,
la planta          ,plant          ,Noun           ,                   ,                           ,
el plástico        ,plastic        ,Noun           ,                   ,                           ,
el plato           ,plate          ,Noun           ,                   ,                           ,
el jugador         ,player         ,Noun           ,                   ,                           ,
el bolsillo        ,pocket         ,Noun           ,                   ,                           ,
el veneno          ,poison         ,Noun           ,                   ,                           ,
la policía         ,police         ,Noun           ,                   ,                           ,
la piscina         ,pool           ,Noun           ,                   ,                           ,
los pobres         ,poor           ,Noun           ,                   ,                           ,
El puerco          ,pork           ,Noun           ,                   ,                           ,
posiblemente       ,possibly       ,Adverb         ,                   ,                           ,
la libra           ,pound          ,Noun           ,weight             ,                           ,
el presidente      ,president      ,Noun           ,                   ,                           ,
el precio          ,price          ,Noun           ,                   ,                           ,
el cura            ,priest         ,Noun           ,                   ,                           ,
La prisión         ,prison         ,Noun           ,                   ,                           ,
privado            ,private        ,Adjective      ,                   ,                           ,
el programa        ,program        ,Noun           ,computer           ,                           ,
público            ,public         ,Adjective      ,                   ,                           ,
la reina           ,queen          ,Noun           ,                   ,                           ,
la tranquilidad    ,quiet          ,Noun           ,                   ,                           ,
la raza            ,race           ,Noun           ,ethnicity          ,                           ,
la raza            ,race           ,Noun           ,sport              ,                           ,
la radio           ,radio          ,Noun           ,                   ,                           ,
la lluvia          ,rain           ,Noun           ,                   ,                           ,
el rojo            ,red            ,Noun           ,                   ,                           ,
la religion        ,religion       ,Noun           ,                   ,                           ,
el reportero       ,reporter       ,Noun           ,                   ,                           ,
el restaurante     ,restaurant     ,Noun           ,                   ,                           ,
el arroz           ,rice           ,Noun           ,                   ,                           ,
los ricos          ,rich           ,Noun           ,                   ,                           ,
la derecha         ,right          ,Noun           ,direction          ,                           ,
el anillo          ,ring           ,Noun           ,                   ,                           ,
el río             ,river          ,Noun           ,                   ,                           ,
el techo           ,roof           ,Noun           ,                   ,                           ,
el cuarto          ,room           ,Noun           ,in a house         ,                           ,
la raíz            ,root           ,Noun           ,                   ,                           ,
El triste          ,sad            ,Noun           ,                   ,                           ,
la sal             ,salt           ,Noun           ,                   ,                           ,
la arena           ,sand           ,Noun           ,                   ,                           ,
la escuela         ,school         ,Noun           ,                   ,                           ,
la ciencia         ,science        ,Noun           ,                   ,                           ,
la pantalla        ,screen         ,Noun           ,                   ,                           ,
el mar             ,sea            ,Noun           ,                   ,                           ,
la temporada       ,season         ,Noun           ,                   ,                           ,
el segundo         ,second         ,Noun           ,2nd                ,                           ,
el segundo         ,second         ,Noun           ,time               ,                           ,
la secretaria      ,secretary      ,Noun           ,                   ,                           ,
la semilla         ,seed           ,Noun           ,                   ,                           ,
el siete           ,seven          ,Noun           ,                   ,                           ,
los diecisiete     ,seventeen      ,Noun           ,                   ,                           ,
los setenta        ,seventy        ,Noun           ,                   ,                           ,
el sexo            ,sex            ,Noun           ,act                ,                           ,
el sexo            ,sex            ,Noun           ,gender             ,                           ,
el superficial     ,shallow        ,Noun           ,                   ,                           ,
el ella            ,she            ,Noun           ,                   ,"her, hers, herself"       ,
el barco           ,ship           ,Noun           ,                   ,                           ,
la camisa          ,shirt          ,Noun           ,                   ,                           ,
los zapatos        ,shoes          ,Noun           ,                   ,                           ,
corto              ,short          ,Adjective      ,long               ,                           ,
corto              ,short          ,Adjective      ,vs. tall           ,                           ,
el hombro          ,shoulder       ,Noun           ,                   ,                           ,
los enfermos       ,sick           ,Noun           ,                   ,                           ,
el lado            ,side           ,Noun           ,                   ,                           ,
la señal           ,sign           ,Noun           ,                   ,                           ,
la Plata           ,silver         ,Noun           ,                   ,                           ,
la hermana         ,sister         ,Noun           ,                   ,                           ,
el seis            ,six            ,Noun           ,                   ,                           ,
los dieciséis      ,sixteen        ,Noun           ,                   ,                           ,
los sesenta        ,sixty          ,Noun           ,                   ,                           ,
la piel            ,skin           ,Noun           ,                   ,                           ,
la falda           ,skirt          ,Noun           ,                   ,                           ,
el cielo           ,sky            ,Noun           ,                   ,                           ,
el lento           ,slow           ,Noun           ,                   ,                           ,
el pequeño/pequeño ,small/little   ,Noun           ,                   ,                           ,
la nieve           ,snow           ,Noun           ,                   ,                           ,
el jabon           ,soap           ,Noun           ,                   ,                           ,
lo suave           ,soft           ,Noun           ,                   ,                           ,
el suelo/la tierra ,soil/earth     ,Noun           ,                   ,                           ,
el soldado         ,soldier        ,Noun           ,                   ,                           ,
el hijo            ,son            ,Noun           ,                   ,                           ,
la canción         ,song           ,Noun           ,                   ,                           ,
El sonido          ,sound          ,Noun           ,                   ,                           ,
la sopa            ,soup           ,Noun           ,                   ,                           ,
el sur             ,south          ,Noun           ,                   ,                           ,
el espacio         ,space          ,Noun           ,outer space        ,                           ,
la cuchara         ,spoon          ,Noun           ,                   ,                           ,
el deporte         ,sport          ,Noun           ,                   ,                           ,
la primavera       ,spring         ,Noun           ,season             ,                           ,
la plaza           ,square         ,Noun           ,                   ,                           ,
la Mancha          ,stain          ,Noun           ,                   ,                           ,
la estrella        ,star           ,Noun           ,                   ,                           ,
la estación        ,station        ,Noun           ,                   ,                           ,
la piedra          ,stone          ,Noun           ,                   ,                           ,
la tienda / tienda ,store/shop     ,Noun           ,                   ,                           ,
la recta           ,straight       ,Noun           ,                   ,                           ,
la calle/carretera ,street/road    ,Noun           ,                   ,                           ,
El fuerte          ,strong         ,Noun           ,                   ,                           ,
el estudiante      ,student        ,Noun           ,                   ,                           ,
el azúcar          ,sugar          ,Noun           ,                   ,                           ,
