fr                   ,en             ,Part of Speech ,Notes              ,Related                    ,
l'entendre           ,hear           ,Noun           ,a sound            ,                           ,
le cœur              ,heart          ,Noun           ,                   ,                           ,
la chaleur           ,heat           ,Noun           ,                   ,                           ,
le paradis           ,heaven         ,Noun           ,                   ,                           ,
le lourd             ,heavy          ,Noun           ,                   ,                           ,
l'enfer              ,hell           ,Noun           ,                   ,                           ,
le haut              ,high           ,Noun           ,                   ,                           ,
la colline           ,hill           ,Noun           ,                   ,                           ,
Le trou              ,hole           ,Noun           ,                   ,                           ,
le cheval            ,horse          ,Noun           ,                   ,                           ,
l'hôpital            ,hospital       ,Noun           ,                   ,                           ,
le chaud             ,hot            ,Noun           ,                   ,                           ,
l'hôtel              ,hotel          ,Noun           ,                   ,                           ,
l'heure              ,hour           ,Noun           ,                   ,                           ,
la maison            ,house          ,Noun           ,                   ,                           ,
l'humain             ,human          ,Noun           ,                   ,                           ,
la centaine          ,hundred        ,Noun           ,                   ,                           ,
le mari              ,husband        ,Noun           ,                   ,                           ,
la glace             ,ice            ,Noun           ,                   ,                           ,
l'image              ,image          ,Noun           ,                   ,                           ,
le pouce             ,inch           ,Noun           ,                   ,                           ,
la blessure          ,injury         ,Noun           ,                   ,                           ,
l'intérieur          ,inside         ,Noun           ,                   ,                           ,
L'instrument         ,instrument     ,Noun           ,musical            ,                           ,
intéressant          ,interesting    ,Adjective      ,                   ,                           ,
l'Ile                ,island         ,Noun           ,                   ,                           ,
le ça                ,it             ,Noun           ,                   ,                           ,
le travail           ,job            ,Noun           ,                   ,                           ,
le juge              ,judge          ,Noun           ,Job                ,                           ,
le jus               ,juice          ,Noun           ,                   ,                           ,
la clé               ,key            ,Noun           ,                   ,                           ,
le kilogramme        ,kilogram       ,Noun           ,                   ,                           ,
le roi               ,king           ,Noun           ,                   ,                           ,
la cuisine           ,kitchen        ,Noun           ,                   ,                           ,
le genou             ,knee           ,Noun           ,                   ,                           ,
le couteau           ,knife          ,Noun           ,                   ,                           ,
le lac               ,lake           ,Noun           ,                   ,                           ,
la lampe             ,lamp           ,Noun           ,                   ,                           ,
Le pc portable       ,laptop         ,Noun           ,                   ,                           ,
l'avocat             ,lawyer         ,Noun           ,                   ,                           ,
la feuille           ,leaf           ,Noun           ,                   ,                           ,
la gauche            ,left           ,Noun           ,direction          ,                           ,
la jambe             ,leg            ,Noun           ,                   ,                           ,
le citron            ,lemon          ,Noun           ,                   ,                           ,
la lettre            ,letter         ,Noun           ,                   ,                           ,
la bibliothèque      ,library        ,Noun           ,                   ,                           ,
le mensonge          ,lie            ,Noun           ,                   ,                           ,
lumière              ,light          ,Adjective      ,/dark              ,                           ,
lumière              ,light          ,Adjective      ,/heavy             ,                           ,
la lumière           ,light          ,Noun           ,                   ,                           ,
la lèvre             ,lip            ,Noun           ,                   ,                           ,
la liste             ,list           ,Noun           ,                   ,                           ,
l'emplacement        ,location       ,Noun           ,                   ,                           ,
le verrou            ,lock           ,Noun           ,                   ,                           ,
le long              ,long           ,Noun           ,                   ,                           ,
le lâche             ,loose          ,Noun           ,                   ,                           ,
le fort              ,loud           ,Noun           ,                   ,                           ,
le bas               ,low            ,Noun           ,                   ,                           ,
le déjeuner          ,lunch          ,Noun           ,                   ,                           ,
le magazine          ,magazine       ,Noun           ,                   ,                           ,
le mâle              ,male           ,Noun           ,                   ,                           ,
l'homme              ,man            ,Noun           ,                   ,                           ,
le directeur         ,manager        ,Noun           ,                   ,                           ,
la carte             ,map            ,Noun           ,                   ,                           ,
le marché            ,market         ,Noun           ,                   ,                           ,
le mariage           ,marriage       ,Noun           ,                   ,                           ,
le matériel          ,material       ,Noun           ,                   ,                           ,
la moyenne           ,mean           ,Noun           ,/nice              ,                           ,
la médecine          ,medicine       ,Noun           ,                   ,                           ,
le désordre          ,mess           ,Noun           ,                   ,                           ,
le métal             ,metal          ,Noun           ,                   ,                           ,
le mètre             ,meter          ,Noun           ,                   ,                           ,
le lait              ,milk           ,Noun           ,                   ,                           ,
le million           ,million        ,Noun           ,                   ,                           ,
la minute            ,minute         ,Noun           ,                   ,                           ,
la mère              ,mom            ,Noun           ,                   ,Mommy                      ,
l'argent             ,money          ,Noun           ,                   ,                           ,
le mois              ,month          ,Noun           ,                   ,                           ,
la lune              ,moon           ,Noun           ,                   ,                           ,
le matin             ,morning        ,Noun           ,                   ,                           ,
la mère              ,mother         ,Noun           ,                   ,                           ,
la montagne          ,mountain       ,Noun           ,                   ,                           ,
la souris            ,mouse          ,Noun           ,                   ,                           ,
la bouche            ,mouth          ,Noun           ,                   ,                           ,
le film              ,movie          ,Noun           ,                   ,                           ,
le meurtrier         ,murder         ,Noun           ,                   ,                           ,
la musique           ,music          ,Noun           ,                   ,                           ,
l'étroit             ,narrow         ,Noun           ,                   ,                           ,
la nature            ,nature         ,Noun           ,                   ,                           ,
à proximité          ,near           ,Adverb         ,                   ,                           ,
le cou               ,neck           ,Noun           ,                   ,                           ,
l'aiguille           ,needle         ,Noun           ,                   ,                           ,
le voisin            ,neighbor       ,Noun           ,                   ,                           ,
ni                   ,neither        ,Adverb         ,                   ,                           ,
le réseau            ,network        ,Noun           ,                   ,                           ,
le nouveau           ,new            ,Noun           ,                   ,                           ,
le journal           ,newspaper      ,Noun           ,                   ,                           ,
le gentil            ,nice           ,Noun           ,                   ,                           ,
la nuit              ,night          ,Noun           ,                   ,                           ,
le neuf              ,nine           ,Noun           ,                   ,                           ,
les dix-neuf         ,nineteen       ,Noun           ,                   ,                           ,
les quatre-vingt-dix ,ninety         ,Noun           ,                   ,                           ,
le non               ,no             ,Noun           ,                   ,                           ,
ni                   ,nor            ,Conjunction    ,                   ,                           ,
le nord              ,north          ,Noun           ,                   ,                           ,
le nez               ,nose           ,Noun           ,                   ,                           ,
la note              ,note           ,Noun           ,on paper           ,                           ,
le néant             ,nothing        ,Noun           ,                   ,                           ,
le nucléaire         ,nuclear        ,Noun           ,                   ,                           ,
le nombre            ,number         ,Noun           ,                   ,                           ,
l'océan              ,ocean          ,Noun           ,                   ,                           ,
le bureau            ,office         ,Noun           ,                   ,                           ,
l'huile              ,oil            ,Noun           ,                   ,                           ,
l'ancien             ,old            ,Noun           ,/new               ,                           ,
l'ancien             ,old            ,Noun           ,/young             ,                           ,
celui                ,one            ,Noun           ,                   ,                           ,
les cent             ,one hundred    ,Noun           ,                   ,                           ,
le million           ,one million    ,Noun           ,                   ,                           ,
le mille             ,one thousand   ,Noun           ,                   ,                           ,
ou                   ,or             ,Conjunction    ,                   ,                           ,
l'orange             ,orange         ,Noun           ,color              ,                           ,
l'orange             ,orange         ,Noun           ,food               ,                           ,
l'extérieur          ,outside        ,Noun           ,                   ,                           ,
la page              ,page           ,Noun           ,                   ,                           ,
la douleur           ,pain           ,Noun           ,                   ,                           ,
la peinture          ,paint          ,Noun           ,                   ,                           ,
le pantalon          ,pants          ,Noun           ,                   ,                           ,
le papier            ,paper          ,Noun           ,                   ,                           ,
le parent            ,parent         ,Noun           ,                   ,                           ,
le parc              ,park           ,Noun           ,location           ,                           ,
le patient           ,patient        ,Noun           ,                   ,                           ,
le motif             ,pattern        ,Noun           ,                   ,                           ,
la paix              ,peace          ,Noun           ,                   ,                           ,
le stylo             ,pen            ,Noun           ,                   ,                           ,
le crayon            ,pencil         ,Noun           ,                   ,                           ,
la personne          ,person         ,Noun           ,                   ,                           ,
le téléphone         ,phone          ,Noun           ,                   ,                           ,
le photographe       ,photograph     ,Noun           ,                   ,                           ,
la pièce             ,piece          ,Noun           ,                   ,                           ,
le cochon            ,pig            ,Noun           ,                   ,                           ,
le rose              ,pink           ,Noun           ,                   ,                           ,
le plan              ,plan           ,Noun           ,                   ,                           ,
l'avion              ,plane          ,Noun           ,                   ,                           ,
la plante            ,plant          ,Noun           ,                   ,                           ,
le plastique         ,plastic        ,Noun           ,                   ,                           ,
la plaque            ,plate          ,Noun           ,                   ,                           ,
le joueur            ,player         ,Noun           ,                   ,                           ,
la poche             ,pocket         ,Noun           ,                   ,                           ,
le poison            ,poison         ,Noun           ,                   ,                           ,
la police            ,police         ,Noun           ,                   ,                           ,
la piscine           ,pool           ,Noun           ,                   ,                           ,
les pauvres          ,poor           ,Noun           ,                   ,                           ,
le porc              ,pork           ,Noun           ,                   ,                           ,
peut-être            ,possibly       ,Adverb         ,                   ,                           ,
la livre             ,pound          ,Noun           ,weight             ,                           ,
Le président         ,president      ,Noun           ,                   ,                           ,
le prix              ,price          ,Noun           ,                   ,                           ,
le prêtre            ,priest         ,Noun           ,                   ,                           ,
la prison            ,prison         ,Noun           ,                   ,                           ,
privé                ,private        ,Adjective      ,                   ,                           ,
le programme         ,program        ,Noun           ,computer           ,                           ,
Publique             ,public         ,Adjective      ,                   ,                           ,
la reine             ,queen          ,Noun           ,                   ,                           ,
le silence           ,quiet          ,Noun           ,                   ,                           ,
la course            ,race           ,Noun           ,ethnicity          ,                           ,
la course            ,race           ,Noun           ,sport              ,                           ,
la radio             ,radio          ,Noun           ,                   ,                           ,
la pluie             ,rain           ,Noun           ,                   ,                           ,
le rouge             ,red            ,Noun           ,                   ,                           ,
la religion          ,religion       ,Noun           ,                   ,                           ,
le journaliste       ,reporter       ,Noun           ,                   ,                           ,
le restaurant        ,restaurant     ,Noun           ,                   ,                           ,
le riz               ,rice           ,Noun           ,                   ,                           ,
le riche             ,rich           ,Noun           ,                   ,                           ,
la droite            ,right          ,Noun           ,direction          ,                           ,
l'anneau             ,ring           ,Noun           ,                   ,                           ,
la rivière           ,river          ,Noun           ,                   ,                           ,
Le toit              ,roof           ,Noun           ,                   ,                           ,
la chambre           ,room           ,Noun           ,in a house         ,                           ,
la racine            ,root           ,Noun           ,                   ,                           ,
le triste            ,sad            ,Noun           ,                   ,                           ,
le sel               ,salt           ,Noun           ,                   ,                           ,
le sable             ,sand           ,Noun           ,                   ,                           ,
l'école              ,school         ,Noun           ,                   ,                           ,
la science           ,science        ,Noun           ,                   ,                           ,
l'écran              ,screen         ,Noun           ,                   ,                           ,
la mer               ,sea            ,Noun           ,                   ,                           ,
la saison            ,season         ,Noun           ,                   ,                           ,
la deuxième          ,second         ,Noun           ,2nd                ,                           ,
la deuxième          ,second         ,Noun           ,time               ,                           ,
le secrétaire        ,secretary      ,Noun           ,                   ,                           ,
la graine            ,seed           ,Noun           ,                   ,                           ,
Les sept             ,seven          ,Noun           ,                   ,                           ,
les dix-sept         ,seventeen      ,Noun           ,                   ,                           ,
les soixante-dix     ,seventy        ,Noun           ,                   ,                           ,
le sexe              ,sex            ,Noun           ,act                ,                           ,
le sexe              ,sex            ,Noun           ,gender             ,                           ,
le peu profond       ,shallow        ,Noun           ,                   ,                           ,
la elle              ,she            ,Noun           ,                   ,"her, hers, herself"       ,
Le bateau            ,ship           ,Noun           ,                   ,                           ,
la chemise           ,shirt          ,Noun           ,                   ,                           ,
les chaussures       ,shoes          ,Noun           ,                   ,                           ,
court                ,short          ,Adjective      ,long               ,                           ,
court                ,short          ,Adjective      ,vs. tall           ,                           ,
L'épaule             ,shoulder       ,Noun           ,                   ,                           ,
le malade            ,sick           ,Noun           ,                   ,                           ,
le côté              ,side           ,Noun           ,                   ,                           ,
le signe             ,sign           ,Noun           ,                   ,                           ,
l'argent             ,silver         ,Noun           ,                   ,                           ,
la soeur             ,sister         ,Noun           ,                   ,                           ,
Les six              ,six            ,Noun           ,                   ,                           ,
le seize             ,sixteen        ,Noun           ,                   ,                           ,
les soixante         ,sixty          ,Noun           ,                   ,                           ,
la peau              ,skin           ,Noun           ,                   ,                           ,
la jupe              ,skirt          ,Noun           ,                   ,                           ,
Le ciel              ,sky            ,Noun           ,                   ,                           ,
le ralentissement    ,slow           ,Noun           ,                   ,                           ,
le petit/petit       ,small/little   ,Noun           ,                   ,                           ,
la neige             ,snow           ,Noun           ,                   ,                           ,
le savon             ,soap           ,Noun           ,                   ,                           ,
Le doux              ,soft           ,Noun           ,                   ,                           ,
le sol/la terre      ,soil/earth     ,Noun           ,                   ,                           ,
le soldat            ,soldier        ,Noun           ,                   ,                           ,
le fils              ,son            ,Noun           ,                   ,                           ,
la chanson           ,song           ,Noun           ,                   ,                           ,
le son               ,sound          ,Noun           ,                   ,                           ,
la soupe             ,soup           ,Noun           ,                   ,                           ,
le sud               ,south          ,Noun           ,                   ,                           ,
l'espace             ,space          ,Noun           ,outer space        ,                           ,
la cuillère          ,spoon          ,Noun           ,                   ,                           ,
le sport             ,sport          ,Noun           ,                   ,                           ,
le printemps         ,spring         ,Noun           ,season             ,                           ,
le carré             ,square         ,Noun           ,                   ,                           ,
la tâche             ,stain          ,Noun           ,                   ,                           ,
l'étoile             ,star           ,Noun           ,                   ,                           ,
la gare              ,station        ,Noun           ,                   ,                           ,
la pierre            ,stone          ,Noun           ,                   ,                           ,
le magasin/boutique  ,store/shop     ,Noun           ,                   ,                           ,
le droit             ,straight       ,Noun           ,                   ,                           ,
la rue/route         ,street/road    ,Noun           ,                   ,                           ,
le fort              ,strong         ,Noun           ,                   ,                           ,
