it                  ,en             ,Part of Speech ,Notes              ,Related                    ,
la Biblioteca       ,library        ,Noun           ,                   ,                           ,
la bugia            ,lie            ,Noun           ,                   ,                           ,
luce                ,light          ,Adjective      ,/dark              ,                           ,
luce                ,light          ,Adjective      ,/heavy             ,                           ,
la luce             ,light          ,Noun           ,                   ,                           ,
il labbro           ,lip            ,Noun           ,                   ,                           ,
la lista            ,list           ,Noun           ,                   ,                           ,
la posizione        ,location       ,Noun           ,                   ,                           ,
la serratura        ,lock           ,Noun           ,                   ,                           ,
il lungo            ,long           ,Noun           ,                   ,                           ,
il sciolto          ,loose          ,Noun           ,                   ,                           ,
il forte            ,loud           ,Noun           ,                   ,                           ,
il basso            ,low            ,Noun           ,                   ,                           ,
il pranzo           ,lunch          ,Noun           ,                   ,                           ,
la rivista          ,magazine       ,Noun           ,                   ,                           ,
il maschio          ,male           ,Noun           ,                   ,                           ,
l'uomo              ,man            ,Noun           ,                   ,                           ,
il responsabile     ,manager        ,Noun           ,                   ,                           ,
la mappa            ,map            ,Noun           ,                   ,                           ,
il mercato          ,market         ,Noun           ,                   ,                           ,
il matrimonio       ,marriage       ,Noun           ,                   ,                           ,
il materiale        ,material       ,Noun           ,                   ,                           ,
la media            ,mean           ,Noun           ,/nice              ,                           ,
la medicina         ,medicine       ,Noun           ,                   ,                           ,
il casino           ,mess           ,Noun           ,                   ,                           ,
il metallo          ,metal          ,Noun           ,                   ,                           ,
il metro            ,meter          ,Noun           ,                   ,                           ,
il latte            ,milk           ,Noun           ,                   ,                           ,
il milione          ,million        ,Noun           ,                   ,                           ,
il minuto           ,minute         ,Noun           ,                   ,                           ,
la mamma            ,mom            ,Noun           ,                   ,Mommy                      ,
i soldi             ,money          ,Noun           ,                   ,                           ,
il mese             ,month          ,Noun           ,                   ,                           ,
la luna             ,moon           ,Noun           ,                   ,                           ,
la mattina          ,morning        ,Noun           ,                   ,                           ,
la madre            ,mother         ,Noun           ,                   ,                           ,
la montagna         ,mountain       ,Noun           ,                   ,                           ,
il topo             ,mouse          ,Noun           ,                   ,                           ,
la bocca            ,mouth          ,Noun           ,                   ,                           ,
il film             ,movie          ,Noun           ,                   ,                           ,
l'omicidio          ,murder         ,Noun           ,                   ,                           ,
la musica           ,music          ,Noun           ,                   ,                           ,
lo stretto          ,narrow         ,Noun           ,                   ,                           ,
la natura           ,nature         ,Noun           ,                   ,                           ,
vicino              ,near           ,Adverb         ,                   ,                           ,
il collo            ,neck           ,Noun           ,                   ,                           ,
l'ago               ,needle         ,Noun           ,                   ,                           ,
il vicino           ,neighbor       ,Noun           ,                   ,                           ,
né                  ,neither        ,Adverb         ,                   ,                           ,
il network          ,network        ,Noun           ,                   ,                           ,
il nuovo            ,new            ,Noun           ,                   ,                           ,
il giornale         ,newspaper      ,Noun           ,                   ,                           ,
il bello            ,nice           ,Noun           ,                   ,                           ,
la notte            ,night          ,Noun           ,                   ,                           ,
il nove             ,nine           ,Noun           ,                   ,                           ,
il diciannove       ,nineteen       ,Noun           ,                   ,                           ,
i novanta           ,ninety         ,Noun           ,                   ,                           ,
il no               ,no             ,Noun           ,                   ,                           ,
né                  ,nor            ,Conjunction    ,                   ,                           ,
il Nord             ,north          ,Noun           ,                   ,                           ,
il naso             ,nose           ,Noun           ,                   ,                           ,
la nota             ,note           ,Noun           ,on paper           ,                           ,
il niente           ,nothing        ,Noun           ,                   ,                           ,
il nucleare         ,nuclear        ,Noun           ,                   ,                           ,
il numero           ,number         ,Noun           ,                   ,                           ,
l'oceano            ,ocean          ,Noun           ,                   ,                           ,
l'ufficio           ,office         ,Noun           ,                   ,                           ,
l'olio              ,oil            ,Noun           ,                   ,                           ,
la vecchia          ,old            ,Noun           ,/new               ,                           ,
la vecchia          ,old            ,Noun           ,/young             ,                           ,
l'unico             ,one            ,Noun           ,                   ,                           ,
i cento             ,one hundred    ,Noun           ,                   ,                           ,
il milione          ,one million    ,Noun           ,                   ,                           ,
i mille             ,one thousand   ,Noun           ,                   ,                           ,
o                   ,or             ,Conjunction    ,                   ,                           ,
l'arancia           ,orange         ,Noun           ,color              ,                           ,
l'arancia           ,orange         ,Noun           ,food               ,                           ,
l'esterno           ,outside        ,Noun           ,                   ,                           ,
la pagina           ,page           ,Noun           ,                   ,                           ,
il dolore           ,pain           ,Noun           ,                   ,                           ,
la vernice          ,paint          ,Noun           ,                   ,                           ,
i pantaloni         ,pants          ,Noun           ,                   ,                           ,
la carta            ,paper          ,Noun           ,                   ,                           ,
il genitore         ,parent         ,Noun           ,                   ,                           ,
il parco            ,park           ,Noun           ,location           ,                           ,
il paziente         ,patient        ,Noun           ,                   ,                           ,
Il modello          ,pattern        ,Noun           ,                   ,                           ,
la pace             ,peace          ,Noun           ,                   ,                           ,
la penna            ,pen            ,Noun           ,                   ,                           ,
la matita           ,pencil         ,Noun           ,                   ,                           ,
la persona          ,person         ,Noun           ,                   ,                           ,
il telefono         ,phone          ,Noun           ,                   ,                           ,
la fotografia       ,photograph     ,Noun           ,                   ,                           ,
il pezzo            ,piece          ,Noun           ,                   ,                           ,
il maiale           ,pig            ,Noun           ,                   ,                           ,
Il rosa             ,pink           ,Noun           ,                   ,                           ,
il programma        ,plan           ,Noun           ,                   ,                           ,
l'aereo             ,plane          ,Noun           ,                   ,                           ,
la pianta           ,plant          ,Noun           ,                   ,                           ,
la plastica         ,plastic        ,Noun           ,                   ,                           ,
il piatto           ,plate          ,Noun           ,                   ,                           ,
il giocatore        ,player         ,Noun           ,                   ,                           ,
la tasca            ,pocket         ,Noun           ,                   ,                           ,
il veleno           ,poison         ,Noun           ,                   ,                           ,
la polizia          ,police         ,Noun           ,                   ,                           ,
la piscina          ,pool           ,Noun           ,                   ,                           ,
il povero           ,poor           ,Noun           ,                   ,                           ,
il maiale           ,pork           ,Noun           ,                   ,                           ,
possibilmente       ,possibly       ,Adverb         ,                   ,                           ,
la sterlina         ,pound          ,Noun           ,weight             ,                           ,
il presidente       ,president      ,Noun           ,                   ,                           ,
il prezzo           ,price          ,Noun           ,                   ,                           ,
il prete            ,priest         ,Noun           ,                   ,                           ,
la prigione         ,prison         ,Noun           ,                   ,                           ,
privato             ,private        ,Adjective      ,                   ,                           ,
il programma        ,program        ,Noun           ,computer           ,                           ,
pubblico            ,public         ,Adjective      ,                   ,                           ,
la regina           ,queen          ,Noun           ,                   ,                           ,
la calma            ,quiet          ,Noun           ,                   ,                           ,
la gara             ,race           ,Noun           ,ethnicity          ,                           ,
la gara             ,race           ,Noun           ,sport              ,                           ,
la radio            ,radio          ,Noun           ,                   ,                           ,
la pioggia          ,rain           ,Noun           ,                   ,                           ,
il rosso            ,red            ,Noun           ,                   ,                           ,
la religione        ,religion       ,Noun           ,                   ,                           ,
il giornalista      ,reporter       ,Noun           ,                   ,                           ,
il ristorante       ,restaurant     ,Noun           ,                   ,                           ,
il riso             ,rice           ,Noun           ,                   ,                           ,
il ricco            ,rich           ,Noun           ,                   ,                           ,
la destra           ,right          ,Noun           ,direction          ,                           ,
l'anello            ,ring           ,Noun           ,                   ,                           ,
il fiume            ,river          ,Noun           ,                   ,                           ,
il tetto            ,roof           ,Noun           ,                   ,                           ,
la stanza           ,room           ,Noun           ,in a house         ,                           ,
la radice           ,root           ,Noun           ,                   ,                           ,
il triste           ,sad            ,Noun           ,                   ,                           ,
il sale             ,salt           ,Noun           ,                   ,                           ,
la sabbia           ,sand           ,Noun           ,                   ,                           ,
la scuola           ,school         ,Noun           ,                   ,                           ,
la scienza          ,science        ,Noun           ,                   ,                           ,
lo schermo          ,screen         ,Noun           ,                   ,                           ,
il mare             ,sea            ,Noun           ,                   ,                           ,
la stagione         ,season         ,Noun           ,                   ,                           ,
il secondo          ,second         ,Noun           ,2nd                ,                           ,
il secondo          ,second         ,Noun           ,time               ,                           ,
la segretaria       ,secretary      ,Noun           ,                   ,                           ,
il seme             ,seed           ,Noun           ,                   ,                           ,
i sette             ,seven          ,Noun           ,                   ,                           ,
i diciassette       ,seventeen      ,Noun           ,                   ,                           ,
i settanta          ,seventy        ,Noun           ,                   ,                           ,
il sesso            ,sex            ,Noun           ,act                ,                           ,
il sesso            ,sex            ,Noun           ,gender             ,                           ,
il poco profondo    ,shallow        ,Noun           ,                   ,                           ,
la lei              ,she            ,Noun           ,                   ,"her, hers, herself"       ,
la nave             ,ship           ,Noun           ,                   ,                           ,
la camicia          ,shirt          ,Noun           ,                   ,                           ,
le scarpe           ,shoes          ,Noun           ,                   ,                           ,
breve               ,short          ,Adjective      ,long               ,                           ,
breve               ,short          ,Adjective      ,vs. tall           ,                           ,
la spalla           ,shoulder       ,Noun           ,                   ,                           ,
i malati            ,sick           ,Noun           ,                   ,                           ,
il lato             ,side           ,Noun           ,                   ,                           ,
il segno            ,sign           ,Noun           ,                   ,                           ,
l'argento           ,silver         ,Noun           ,                   ,                           ,
la sorella          ,sister         ,Noun           ,                   ,                           ,
i sei               ,six            ,Noun           ,                   ,                           ,
i sedici            ,sixteen        ,Noun           ,                   ,                           ,
i sessanta          ,sixty          ,Noun           ,                   ,                           ,
la pelle            ,skin           ,Noun           ,                   ,                           ,
la gonna            ,skirt          ,Noun           ,                   ,                           ,
il cielo            ,sky            ,Noun           ,                   ,                           ,
il lento            ,slow           ,Noun           ,                   ,                           ,
il piccolo/piccolo  ,small/little   ,Noun           ,                   ,                           ,
la neve             ,snow           ,Noun           ,                   ,                           ,
il sapone           ,soap           ,Noun           ,                   ,                           ,
il morbido          ,soft           ,Noun           ,                   ,                           ,
il suolo/terra      ,soil/earth     ,Noun           ,                   ,                           ,
Il soldato          ,soldier        ,Noun           ,                   ,                           ,
il figlio           ,son            ,Noun           ,                   ,                           ,
la canzone          ,song           ,Noun           ,                   ,                           ,
il suono            ,sound          ,Noun           ,                   ,                           ,
la zuppa            ,soup           ,Noun           ,                   ,                           ,
il Sud              ,south          ,Noun           ,                   ,                           ,
lo spazio           ,space          ,Noun           ,outer space        ,                           ,
il cucchiaio        ,spoon          ,Noun           ,                   ,                           ,
lo sport            ,sport          ,Noun           ,                   ,                           ,
la primavera        ,spring         ,Noun           ,season             ,                           ,
la piazza           ,square         ,Noun           ,                   ,                           ,
la macchia          ,stain          ,Noun           ,                   ,                           ,
la stella           ,star           ,Noun           ,                   ,                           ,
la stazione         ,station        ,Noun           ,                   ,                           ,
la pietra           ,stone          ,Noun           ,                   ,                           ,
il negozio/negozio  ,store/shop     ,Noun           ,                   ,                           ,
il dritto           ,straight       ,Noun           ,                   ,                           ,
la strada/strada    ,street/road    ,Noun           ,                   ,                           ,
