de                   ,en             ,Part of Speech ,Notes              ,Related                    ,
die Kerze            ,candle         ,Noun           ,                   ,                           ,
die Kappe            ,cap            ,Noun           ,                   ,                           ,
das Auto             ,car            ,Noun           ,                   ,                           ,
die Karte            ,card           ,Noun           ,                   ,                           ,
die Karriere         ,career         ,Noun           ,                   ,                           ,
Die Karotte          ,carrot         ,Noun           ,                   ,                           ,
die Katze            ,cat            ,Noun           ,                   ,                           ,
die Decke            ,ceiling        ,Noun           ,                   ,                           ,
die Zelle            ,cell           ,Noun           ,                   ,                           ,
Der Cent             ,cent           ,Noun           ,                   ,                           ,
das Zentrum          ,center         ,Noun           ,                   ,                           ,
das Jahrhundert      ,century        ,Noun           ,                   ,                           ,
der Zentimeter       ,centimeter     ,Noun           ,                   ,                           ,
sicher               ,certain        ,Adjective      ,                   ,                           ,
der Stuhl            ,chair          ,Noun           ,                   ,                           ,
das billige          ,cheap          ,Noun           ,                   ,                           ,
der Käse             ,cheese         ,Noun           ,                   ,                           ,
das Huhn             ,chicken        ,Noun           ,                   ,                           ,
das Kind             ,child          ,Noun           ,                   ,                           ,
das Kinn             ,chin           ,Noun           ,                   ,                           ,
die Kirche           ,church         ,Noun           ,                   ,                           ,
Der Kreis            ,circle         ,Noun           ,                   ,                           ,
die Stadt            ,city           ,Noun           ,                   ,                           ,
der Lehm             ,clay           ,Noun           ,                   ,                           ,
die Klasse           ,class          ,Noun           ,                   ,                           ,
sauber               ,clean          ,Adjective      ,                   ,                           ,
die Uhr              ,clock          ,Noun           ,                   ,                           ,
nah dran             ,close          ,Adverb         ,                   ,                           ,
die Bekleidung       ,clothing       ,Noun           ,                   ,clothes                    ,
die Uhr              ,clock          ,Noun           ,                   ,                           ,
die Kleidung         ,cloth          ,Noun           ,                   ,                           ,
die Wolke            ,cloud          ,Noun           ,                   ,                           ,
der Klub             ,club           ,Noun           ,location           ,                           ,
der Mantel           ,coat           ,Noun           ,                   ,                           ,
der Kaffee           ,coffee         ,Noun           ,                   ,                           ,
die Kälte            ,cold           ,Noun           ,                   ,                           ,
die Farbe            ,color          ,Noun           ,                   ,                           ,
der Ausschuss        ,committee      ,Noun           ,                   ,                           ,
das Unternehmen      ,company        ,Noun           ,                   ,                           ,
der Computer         ,computer       ,Noun           ,                   ,                           ,
der Komplex          ,complex        ,Noun           ,                   ,                           ,
der Konsonant        ,consonant      ,Noun           ,                   ,                           ,
die Bedingung        ,condition      ,Noun           ,                   ,                           ,
der Vertrag          ,contract       ,Noun           ,                   ,                           ,
Kalt                 ,cool           ,Adjective      ,                   ,                           ,
das Kupfer           ,copper         ,Noun           ,                   ,                           ,
Der Mais             ,corn           ,Noun           ,                   ,                           ,
die Ecke             ,corner         ,Noun           ,                   ,                           ,
das Land             ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
das Gericht          ,court          ,Noun           ,                   ,                           ,
Die Titelseite       ,cover          ,Noun           ,                   ,                           ,
die Kuh              ,cow            ,Noun           ,                   ,                           ,
die Menge            ,crowd          ,Noun           ,                   ,                           ,
die Tasse            ,cup            ,Noun           ,                   ,                           ,
das gebogene         ,curved         ,Noun           ,                   ,                           ,
niedlich             ,cute           ,Adjective      ,                   ,                           ,
der Vater            ,dad            ,Noun           ,                   ,Daddy                      ,
die Dunkelheit       ,dark           ,Noun           ,                   ,                           ,
das Datum            ,date           ,Noun           ,e.g. May 7         ,                           ,
die Tochter          ,daughter       ,Noun           ,                   ,                           ,
der Tag              ,day            ,Noun           ,                   ,                           ,
die Toten            ,dead           ,Noun           ,                   ,                           ,
Der Taube            ,deaf           ,Noun           ,                   ,                           ,
der Tod              ,death          ,Noun           ,                   ,                           ,
Die Tiefe            ,deep           ,Noun           ,                   ,                           ,
der Diamant          ,diamond        ,Noun           ,                   ,                           ,
das Abendessen       ,dinner         ,Noun           ,                   ,                           ,
die Richtung         ,direction      ,Noun           ,                   ,                           ,
das schmutzige       ,dirty          ,Noun           ,                   ,                           ,
die Krankheit        ,disease        ,Noun           ,                   ,                           ,
Der Doktor           ,doctor         ,Noun           ,                   ,                           ,
der Hund             ,dog            ,Noun           ,                   ,                           ,
der Dollar           ,dollar         ,Noun           ,                   ,                           ,
die Tür              ,door           ,Noun           ,                   ,                           ,
der Punkt            ,dot            ,Noun           ,                   ,                           ,
Nieder               ,down           ,Preposition    ,                   ,                           ,
der Traum            ,dream          ,Noun           ,                   ,                           ,
das Kleid            ,dress          ,Noun           ,                   ,                           ,
das Medikament       ,drug           ,Noun           ,                   ,                           ,
Die Trockenheit      ,dry            ,Noun           ,                   ,                           ,
der Staub            ,dust           ,Noun           ,                   ,                           ,
das Ohr              ,ear            ,Noun           ,                   ,                           ,
der Osten            ,east           ,Noun           ,                   ,                           ,
die Kante            ,edge           ,Noun           ,                   ,                           ,
das Ei               ,egg            ,Noun           ,                   ,                           ,
die acht             ,eight          ,Noun           ,                   ,                           ,
die achtzehn         ,eighteen       ,Noun           ,                   ,                           ,
die achtzig          ,eighty         ,Noun           ,                   ,                           ,
entweder             ,either         ,Adverb         ,                   ,                           ,
Die Wahl             ,election       ,Noun           ,                   ,                           ,
die Elektronik       ,electronics    ,Noun           ,                   ,                           ,
die elf              ,eleven         ,Noun           ,                   ,                           ,
die Energie          ,energy         ,Noun           ,                   ,                           ,
der Motor            ,engine         ,Noun           ,                   ,                           ,
der Abend            ,evening        ,Noun           ,                   ,                           ,
das alles            ,everything     ,Noun           ,                   ,                           ,
der Beweis           ,evidence       ,Noun           ,                   ,                           ,
die Übung            ,exercise       ,Noun           ,                   ,                           ,
das teure            ,expensive      ,Noun           ,                   ,                           ,
das Auge             ,eye            ,Noun           ,                   ,                           ,
das Gesicht          ,face           ,Noun           ,                   ,                           ,
der Herbst           ,fall           ,Noun           ,season             ,                           ,
die Familie          ,family         ,Noun           ,                   ,                           ,
die Berühmten        ,famous         ,Noun           ,                   ,                           ,
der Fan              ,fan            ,Noun           ,electric           ,                           ,
der Fan              ,fan            ,Noun           ,sport              ,                           ,
weit                 ,far            ,Adverb         ,                   ,                           ,
der Bauernhof        ,farm           ,Noun           ,                   ,                           ,
der Schnelle         ,fast           ,Noun           ,                   ,                           ,
der Vater            ,father         ,Noun           ,                   ,                           ,
das Weibchen         ,female         ,Noun           ,                   ,                           ,
die fünfzehn         ,fifteen        ,Noun           ,                   ,                           ,
der fünfte           ,fifth          ,Noun           ,5th                ,                           ,
die fünfzig          ,fifty          ,Noun           ,                   ,                           ,
der Finger           ,finger         ,Noun           ,                   ,                           ,
das Feuer            ,fire           ,Noun           ,                   ,                           ,
Der Erste            ,first          ,Noun           ,1st                ,                           ,
der Fisch            ,fish           ,Noun           ,                   ,                           ,
die Fünf             ,five           ,Noun           ,                   ,                           ,
eben                 ,flat           ,Adjective      ,                   ,                           ,
der Boden            ,floor          ,Noun           ,                   ,                           ,
die Blume            ,flower         ,Noun           ,                   ,                           ,
das Essen            ,food           ,Noun           ,                   ,                           ,
der Fuss             ,foot           ,Noun           ,body part          ,                           ,
der Fuss             ,foot           ,Noun           ,measurement        ,                           ,
Der Wald             ,forest         ,Noun           ,                   ,                           ,
die Gabel            ,fork           ,Noun           ,                   ,                           ,
die vierzig          ,forty          ,Noun           ,                   ,                           ,
die Vier             ,four           ,Noun           ,                   ,                           ,
die vierzehn         ,fourteen       ,Noun           ,                   ,                           ,
die vierte           ,fourth         ,Noun           ,4th                ,                           ,
der Freund           ,friend         ,Noun           ,                   ,                           ,
die Front            ,front          ,Noun           ,                   ,                           ,
das Spiel            ,game           ,Noun           ,                   ,                           ,
der Garten           ,garden         ,Noun           ,                   ,                           ,
das Benzin           ,gasoline       ,Noun           ,                   ,                           ,
das Geschenk         ,gift           ,Noun           ,                   ,                           ,
das Mädchen          ,girl           ,Noun           ,                   ,                           ,
die Freundin         ,girlfriend     ,Noun           ,                   ,                           ,
das Glas             ,glass          ,Noun           ,                   ,                           ,
das Gold             ,gold           ,Noun           ,                   ,                           ,
der gute             ,good           ,Noun           ,                   ,"better, best"             ,
der Großvater        ,grandfather    ,Noun           ,                   ,                           ,
die Großmutter       ,grandmother    ,Noun           ,                   ,                           ,
das Gras             ,grass          ,Noun           ,                   ,                           ,
das Graue            ,gray           ,Noun           ,                   ,                           ,
das Grün             ,green          ,Noun           ,                   ,                           ,
der Boden            ,ground         ,Noun           ,                   ,                           ,
die Waffe            ,gun            ,Noun           ,                   ,                           ,
die Haare            ,hair           ,Noun           ,                   ,                           ,
die Hälfte           ,half           ,Noun           ,                   ,                           ,
die Hand             ,hand           ,Noun           ,                   ,                           ,
das Glückliche       ,happy          ,Noun           ,                   ,                           ,
die Hard             ,hard           ,Noun           ,                   ,                           ,
der Hut              ,hat            ,Noun           ,                   ,                           ,
er                   ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
der Kopf             ,head           ,Noun           ,                   ,                           ,
das gesunde          ,healthy        ,Noun           ,                   ,                           ,
das hören            ,hear           ,Noun           ,a sound            ,                           ,
das Herz             ,heart          ,Noun           ,                   ,                           ,
die Hitze            ,heat           ,Noun           ,                   ,                           ,
der Himmel           ,heaven         ,Noun           ,                   ,                           ,
die schweren         ,heavy          ,Noun           ,                   ,                           ,
die Hölle            ,hell           ,Noun           ,                   ,                           ,
das Hoch             ,high           ,Noun           ,                   ,                           ,
der Hügel            ,hill           ,Noun           ,                   ,                           ,
das Loch             ,hole           ,Noun           ,                   ,                           ,
das Pferd            ,horse          ,Noun           ,                   ,                           ,
das Krankenhaus      ,hospital       ,Noun           ,                   ,                           ,
das heiße            ,hot            ,Noun           ,                   ,                           ,
das Hotel            ,hotel          ,Noun           ,                   ,                           ,
die Stunde           ,hour           ,Noun           ,                   ,                           ,
das Haus             ,house          ,Noun           ,                   ,                           ,
der Mensch           ,human          ,Noun           ,                   ,                           ,
die hundert          ,hundred        ,Noun           ,                   ,                           ,
der Ehemann          ,husband        ,Noun           ,                   ,                           ,
das Eis              ,ice            ,Noun           ,                   ,                           ,
das Bild             ,image          ,Noun           ,                   ,                           ,
der Zoll             ,inch           ,Noun           ,                   ,                           ,
die Verletzung       ,injury         ,Noun           ,                   ,                           ,
das Innere           ,inside         ,Noun           ,                   ,                           ,
das Instrument       ,instrument     ,Noun           ,musical            ,                           ,
interessant          ,interesting    ,Adjective      ,                   ,                           ,
die Insel            ,island         ,Noun           ,                   ,                           ,
Das es               ,it             ,Noun           ,                   ,                           ,
die Arbeit           ,job            ,Noun           ,                   ,                           ,
der Richter          ,judge          ,Noun           ,Job                ,                           ,
der Saft             ,juice          ,Noun           ,                   ,                           ,
der Schlüssel        ,key            ,Noun           ,                   ,                           ,
das Kilogramm        ,kilogram       ,Noun           ,                   ,                           ,
der König            ,king           ,Noun           ,                   ,                           ,
die Küche            ,kitchen        ,Noun           ,                   ,                           ,
das Knie             ,knee           ,Noun           ,                   ,                           ,
das Messer           ,knife          ,Noun           ,                   ,                           ,
der See              ,lake           ,Noun           ,                   ,                           ,
die Lampe            ,lamp           ,Noun           ,                   ,                           ,
der Laptop           ,laptop         ,Noun           ,                   ,                           ,
der Rechtsanwalt     ,lawyer         ,Noun           ,                   ,                           ,
das Blatt            ,leaf           ,Noun           ,                   ,                           ,
die linke            ,left           ,Noun           ,direction          ,                           ,
das Bein             ,leg            ,Noun           ,                   ,                           ,
die Zitrone          ,lemon          ,Noun           ,                   ,                           ,
der Buchstabe        ,letter         ,Noun           ,                   ,                           ,
die Bibliothek       ,library        ,Noun           ,                   ,                           ,
die Lüge             ,lie            ,Noun           ,                   ,                           ,
hell                 ,light          ,Adjective      ,/dark              ,                           ,
hell                 ,light          ,Adjective      ,/heavy             ,                           ,
das Licht            ,light          ,Noun           ,                   ,                           ,
die Lippe            ,lip            ,Noun           ,                   ,                           ,
Die Liste            ,list           ,Noun           ,                   ,                           ,
der Standort         ,location       ,Noun           ,                   ,                           ,
das Schloss          ,lock           ,Noun           ,                   ,                           ,
das lange            ,long           ,Noun           ,                   ,                           ,
Das lose             ,loose          ,Noun           ,                   ,                           ,
das laute            ,loud           ,Noun           ,                   ,                           ,
das Tief             ,low            ,Noun           ,                   ,                           ,
das Mittagessen      ,lunch          ,Noun           ,                   ,                           ,
die Zeitschrift      ,magazine       ,Noun           ,                   ,                           ,
der männliche        ,male           ,Noun           ,                   ,                           ,
der Mann             ,man            ,Noun           ,                   ,                           ,
der Geschäftsführer  ,manager        ,Noun           ,                   ,                           ,
die Karte            ,map            ,Noun           ,                   ,                           ,
der Markt            ,market         ,Noun           ,                   ,                           ,
die Hochzeit         ,marriage       ,Noun           ,                   ,                           ,
das Material         ,material       ,Noun           ,                   ,                           ,
der Mittelwert       ,mean           ,Noun           ,/nice              ,                           ,
die Medizin          ,medicine       ,Noun           ,                   ,                           ,
die Unordnung        ,mess           ,Noun           ,                   ,                           ,
das Metall           ,metal          ,Noun           ,                   ,                           ,
der Meter            ,meter          ,Noun           ,                   ,                           ,
die Milch            ,milk           ,Noun           ,                   ,                           ,
die Million          ,million        ,Noun           ,                   ,                           ,
die Minute           ,minute         ,Noun           ,                   ,                           ,
die Mutter           ,mom            ,Noun           ,                   ,Mommy                      ,
das Geld             ,money          ,Noun           ,                   ,                           ,
der Monat            ,month          ,Noun           ,                   ,                           ,
der Mond             ,moon           ,Noun           ,                   ,                           ,
der Morgen           ,morning        ,Noun           ,                   ,                           ,
die Mutter           ,mother         ,Noun           ,                   ,                           ,
der Berg             ,mountain       ,Noun           ,                   ,                           ,
Die Maus             ,mouse          ,Noun           ,                   ,                           ,
der Mund             ,mouth          ,Noun           ,                   ,                           ,
der Film             ,movie          ,Noun           ,                   ,                           ,
der Mord             ,murder         ,Noun           ,                   ,                           ,
die Musik            ,music          ,Noun           ,                   ,                           ,
die Enge             ,narrow         ,Noun           ,                   ,                           ,
die Natur            ,nature         ,Noun           ,                   ,                           ,
nahe                 ,near           ,Adverb         ,                   ,                           ,
der Hals             ,neck           ,Noun           ,                   ,                           ,
Die Nadel            ,needle         ,Noun           ,                   ,                           ,
der Nachbar          ,neighbor       ,Noun           ,                   ,                           ,
weder                ,neither        ,Adverb         ,                   ,                           ,
das Netzwerk         ,network        ,Noun           ,                   ,                           ,
das neue             ,new            ,Noun           ,                   ,                           ,
die Zeitung          ,newspaper      ,Noun           ,                   ,                           ,
der nette            ,nice           ,Noun           ,                   ,                           ,
die Nacht            ,night          ,Noun           ,                   ,                           ,
die neun             ,nine           ,Noun           ,                   ,                           ,
die neunzehn         ,nineteen       ,Noun           ,                   ,                           ,
die neunzig          ,ninety         ,Noun           ,                   ,                           ,
Das Nein             ,no             ,Noun           ,                   ,                           ,
Noch                 ,nor            ,Conjunction    ,                   ,                           ,
der Norden           ,north          ,Noun           ,                   ,                           ,
die Nase             ,nose           ,Noun           ,                   ,                           ,
die Notiz            ,note           ,Noun           ,on paper           ,                           ,
Das Nichts           ,nothing        ,Noun           ,                   ,                           ,
die nukleare         ,nuclear        ,Noun           ,                   ,                           ,
die Nummer           ,number         ,Noun           ,                   ,                           ,
der Ozean            ,ocean          ,Noun           ,                   ,                           ,
das Büro             ,office         ,Noun           ,                   ,                           ,
das Öl               ,oil            ,Noun           ,                   ,                           ,
das alte             ,old            ,Noun           ,/new               ,                           ,
das alte             ,old            ,Noun           ,/young             ,                           ,
der Eine             ,one            ,Noun           ,                   ,                           ,
die hundert          ,one hundred    ,Noun           ,                   ,                           ,
die eine Million     ,one million    ,Noun           ,                   ,                           ,
die Tausend          ,one thousand   ,Noun           ,                   ,                           ,
oder                 ,or             ,Conjunction    ,                   ,                           ,
Die Orange           ,orange         ,Noun           ,color              ,                           ,
Die Orange           ,orange         ,Noun           ,food               ,                           ,
die Außenseite       ,outside        ,Noun           ,                   ,                           ,
die Seite            ,page           ,Noun           ,                   ,                           ,
der Schmerz          ,pain           ,Noun           ,                   ,                           ,
die Farbe            ,paint          ,Noun           ,                   ,                           ,
die Hose             ,pants          ,Noun           ,                   ,                           ,
das Papier           ,paper          ,Noun           ,                   ,                           ,
das Elternteil       ,parent         ,Noun           ,                   ,                           ,
der Park             ,park           ,Noun           ,location           ,                           ,
der Patient          ,patient        ,Noun           ,                   ,                           ,
das Muster           ,pattern        ,Noun           ,                   ,                           ,
der Frieden          ,peace          ,Noun           ,                   ,                           ,
der Stift            ,pen            ,Noun           ,                   ,                           ,
der Bleistift        ,pencil         ,Noun           ,                   ,                           ,
die Person           ,person         ,Noun           ,                   ,                           ,
das Telefon          ,phone          ,Noun           ,                   ,                           ,
die Fotografie       ,photograph     ,Noun           ,                   ,                           ,
das Stück            ,piece          ,Noun           ,                   ,                           ,
das Schwein          ,pig            ,Noun           ,                   ,                           ,
das pinke            ,pink           ,Noun           ,                   ,                           ,
der Plan             ,plan           ,Noun           ,                   ,                           ,
das Flugzeug         ,plane          ,Noun           ,                   ,                           ,
die Pflanze          ,plant          ,Noun           ,                   ,                           ,
der Kunststoff       ,plastic        ,Noun           ,                   ,                           ,
der Teller           ,plate          ,Noun           ,                   ,                           ,
der Spieler          ,player         ,Noun           ,                   ,                           ,
die Tasche           ,pocket         ,Noun           ,                   ,                           ,
das Gift             ,poison         ,Noun           ,                   ,                           ,
die Polizei          ,police         ,Noun           ,                   ,                           ,
der Pool             ,pool           ,Noun           ,                   ,                           ,
die Armen            ,poor           ,Noun           ,                   ,                           ,
das Schweinefleisch  ,pork           ,Noun           ,                   ,                           ,
möglicherweise       ,possibly       ,Adverb         ,                   ,                           ,
das Pfund            ,pound          ,Noun           ,weight             ,                           ,
der Präsident        ,president      ,Noun           ,                   ,                           ,
der Preis            ,price          ,Noun           ,                   ,                           ,
der Priester         ,priest         ,Noun           ,                   ,                           ,
das Gefängnis        ,prison         ,Noun           ,                   ,                           ,
Privatgelände        ,private        ,Adjective      ,                   ,                           ,
das Programm         ,program        ,Noun           ,computer           ,                           ,
Öffentlichkeit       ,public         ,Adjective      ,                   ,                           ,
die Königin          ,queen          ,Noun           ,                   ,                           ,
die Stille           ,quiet          ,Noun           ,                   ,                           ,
das Rennen           ,race           ,Noun           ,ethnicity          ,                           ,
das Rennen           ,race           ,Noun           ,sport              ,                           ,
das Radio            ,radio          ,Noun           ,                   ,                           ,
der Regen            ,rain           ,Noun           ,                   ,                           ,
das Rote             ,red            ,Noun           ,                   ,                           ,
Die Religion         ,religion       ,Noun           ,                   ,                           ,
der Reporter         ,reporter       ,Noun           ,                   ,                           ,
das Restaurant       ,restaurant     ,Noun           ,                   ,                           ,
der Reis             ,rice           ,Noun           ,                   ,                           ,
die Reichen          ,rich           ,Noun           ,                   ,                           ,
das Recht            ,right          ,Noun           ,direction          ,                           ,
der Ring             ,ring           ,Noun           ,                   ,                           ,
der Fluss            ,river          ,Noun           ,                   ,                           ,
das Dach             ,roof           ,Noun           ,                   ,                           ,
das Zimmer           ,room           ,Noun           ,in a house         ,                           ,
die Wurzel           ,root           ,Noun           ,                   ,                           ,
das Traurige         ,sad            ,Noun           ,                   ,                           ,
das Salz             ,salt           ,Noun           ,                   ,                           ,
der Sand             ,sand           ,Noun           ,                   ,                           ,
die Schule           ,school         ,Noun           ,                   ,                           ,
die Wissenschaft     ,science        ,Noun           ,                   ,                           ,
der Bildschirm       ,screen         ,Noun           ,                   ,                           ,
das Meer             ,sea            ,Noun           ,                   ,                           ,
die Saison           ,season         ,Noun           ,                   ,                           ,
der Zweite           ,second         ,Noun           ,2nd                ,                           ,
der Zweite           ,second         ,Noun           ,time               ,                           ,
die Sekretärin       ,secretary      ,Noun           ,                   ,                           ,
der Samen            ,seed           ,Noun           ,                   ,                           ,
Die Sieben           ,seven          ,Noun           ,                   ,                           ,
die siebzehn         ,seventeen      ,Noun           ,                   ,                           ,
die siebzig          ,seventy        ,Noun           ,                   ,                           ,
das Geschlecht       ,sex            ,Noun           ,act                ,                           ,
das Geschlecht       ,sex            ,Noun           ,gender             ,                           ,
die seichte          ,shallow        ,Noun           ,                   ,                           ,
die sie              ,she            ,Noun           ,                   ,"her, hers, herself"       ,
das Schiff           ,ship           ,Noun           ,                   ,                           ,
das Hemd             ,shirt          ,Noun           ,                   ,                           ,
die Schuhe           ,shoes          ,Noun           ,                   ,                           ,
kurz                 ,short          ,Adjective      ,long               ,                           ,
kurz                 ,short          ,Adjective      ,vs. tall           ,                           ,
die Schulter         ,shoulder       ,Noun           ,                   ,                           ,
die Kranken          ,sick           ,Noun           ,                   ,                           ,
die Seite            ,side           ,Noun           ,                   ,                           ,
das Schild           ,sign           ,Noun           ,                   ,                           ,
das Silber           ,silver         ,Noun           ,                   ,                           ,
die Schwester        ,sister         ,Noun           ,                   ,                           ,
die sechs            ,six            ,Noun           ,                   ,                           ,
die sechzehn         ,sixteen        ,Noun           ,                   ,                           ,
die sechzig          ,sixty          ,Noun           ,                   ,                           ,
die Haut             ,skin           ,Noun           ,                   ,                           ,
der Rock             ,skirt          ,Noun           ,                   ,                           ,
der Himmel           ,sky            ,Noun           ,                   ,                           ,
die langsame         ,slow           ,Noun           ,                   ,                           ,
das kleine/kleine    ,small/little   ,Noun           ,                   ,                           ,
der Schnee           ,snow           ,Noun           ,                   ,                           ,
die Seife            ,soap           ,Noun           ,                   ,                           ,
die weiche           ,soft           ,Noun           ,                   ,                           ,
der Boden/die Erde   ,soil/earth     ,Noun           ,                   ,                           ,
der Soldat           ,soldier        ,Noun           ,                   ,                           ,
der Sohn             ,son            ,Noun           ,                   ,                           ,
das Lied             ,song           ,Noun           ,                   ,                           ,
der Klang            ,sound          ,Noun           ,                   ,                           ,
